question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
matching,Apple Num Pair Match,Match red apple groups to number cards!,,,1,,,,,,,,1,1,2,2,3,3
matching,Apple Num Pair Match,Match apple baskets to number cards!,,,1,,,,,,,,🍎,2,🍎,4,🍎,5
matching,Apple Num Pair Match,Match big apple trees to number digits!,,,1,,,,,,,,🍎,6,🍎,8,🍎,10
matching,Apple Num Pair Match,Match green apples to number cards!,,,1,,,,,,,,1,1,3,3,5,5
matching,Apple Num Pair Match,Match sliced apples to number digits!,,,1,,,,,,,,2,2,4,4,6,6
matching,Apple Num Pair Match,Match apple pie slices to number cards!,,,1,,,,,,,,3,3,7,7,9,9
count_objects,Apple Num Pair Match,How many juicy red apples are in the basket?,basket_count.webp,audio_q7.mp3,1,5,4,6,,🍎,5,,,,,,,
count_objects,Apple Num Pair Match,Count all 8 green apples on the branch!,branch_count.webp,audio_q8.mp3,1,8,7,9,,🍏,8,,,,,,,
multiple_choice,Apple Num Pair Match,Which card matches 3 red apples?,mc_q9.webp,audio_q9.mp3,1,3,2,4,,,3,,,,,,,
multiple_choice,Apple Num Pair Match,Which card matches 5 red apples?,mc_q10.webp,audio_q10.mp3,1,5,4,6,,,5,,,,,,,
multiple_choice,Apple Num Pair Match,Which card matches 10 red apples?,mc_q11.webp,audio_q11.mp3,1,10,9,8,,,10,,,,,,,
