question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
matching,Fruit Stand Quantity Match,Match orange fruit groups to number cards!,,,1,,,,,,,,1,1,3,3,5,5
matching,Fruit Stand Quantity Match,Match apple fruit groups to number digits!,,,1,,,,,,,,2,2,4,4,6,6
matching,Fruit Stand Quantity Match,Match banana fruit groups to number digits!,,,1,,,,,,,,7,7,8,8,10,10
matching,Fruit Stand Quantity Match,Match fruit crate cards to number digits!,,,1,,,,,,,,FRUIT,1,FRUIT,3,FRUIT,5
matching,Fruit Stand Quantity Match,Match fruit juice bottles to number digits!,,,1,,,,,,,,4,4,6,6,8,8
matching,Fruit Stand Quantity Match,Match fruit market stalls to number digits!,,,1,,,,,,,,2,2,5,5,10,10
count_objects,Fruit Stand Quantity Match,How many oranges are displayed on the fruit stand?,stand_oranges.webp,audio_q7.mp3,1,5,4,6,,🍊,5,,,,,,,
count_objects,Fruit Stand Quantity Match,Count all 8 yellow bananas hanging on the rack!,rack_bananas.webp,audio_q8.mp3,1,8,7,9,,🍌,8,,,,,,,
multiple_choice,Fruit Stand Quantity Match,Which card matches 4 fresh apples?,mc_q9.webp,audio_q9.mp3,1,4,3,5,,,4,,,,,,,
multiple_choice,Fruit Stand Quantity Match,Which card matches 6 juicy oranges?,mc_q10.webp,audio_q10.mp3,1,6,5,7,,,6,,,,,,,
multiple_choice,Fruit Stand Quantity Match,Which card matches 10 sweet strawberries?,mc_q11.webp,audio_q11.mp3,1,10,9,8,,,10,,,,,,,
