question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
count_objects,Shooting Star Sequence 101,Count 1 shooting star zooming across the sky!,star1.webp,audio_q1.mp3,1,1,2,3,,🌠,1,,,,,,,
count_objects,Shooting Star Sequence 101,Count 2 shooting stars leaving bright tails!,star2.webp,audio_q2.mp3,1,2,1,3,,🌠,2,,,,,,,
count_objects,Shooting Star Sequence 101,Count 3 comets streaking through space!,comet3.webp,audio_q3.mp3,1,3,2,4,,☄️,3,,,,,,,
count_objects,Shooting Star Sequence 101,Count 4 shooting stars flashing in a row!,star4.webp,audio_q4.mp3,1,4,3,5,,🌠,4,,,,,,,
count_objects,Shooting Star Sequence 101,Count 5 bright comets flying past Saturn!,comet5.webp,audio_q5.mp3,1,5,4,6,,☄️,5,,,,,,,
count_objects,Shooting Star Sequence 101,Count 6 shooting stars sparkling above Earth!,star6.webp,audio_q6.mp3,1,6,5,7,,🌠,6,,,,,,,
count_objects,Shooting Star Sequence 101,Count 7 cosmic comets counted by Leo!,comet7.webp,audio_q7.mp3,1,7,6,8,,☄️,7,,,,,,,
count_objects,Shooting Star Sequence 101,Count 8 shooting stars lighting the night sky!,star8.webp,audio_q8.mp3,1,8,7,9,,🌠,8,,,,,,,
multiple_choice,Shooting Star Sequence 101,Which picture shows 1 shooting star?,mc_q9.webp,audio_q9.mp3,1,1,2,3,,,1,,,,,,,
multiple_choice,Shooting Star Sequence 101,Which picture shows 2 shooting stars?,mc_q10.webp,audio_q10.mp3,1,2,1,3,,,2,,,,,,,
multiple_choice,Shooting Star Sequence 101,Which picture shows 3 cosmic comets?,mc_q11.webp,audio_q11.mp3,1,3,2,4,,,3,,,,,,,
multiple_choice,Shooting Star Sequence 101,Which shooting star is FAST & BRIGHT?,faststar.webp,audio_q12.mp3,1,🌠,🐢,🪨,,,1,,,,,,,
multiple_choice,Shooting Star Sequence 101,Which star trail is LONG?,longtrail.webp,audio_q13.mp3,1,🌠,🟡,🪙,,,1,,,,,,,
multiple_choice,Shooting Star Sequence 101,Which shooting star is HIGH in deep space?,highstar.webp,audio_q14.mp3,1,🌌,🕳️,🌊,,,1,,,,,,,
