question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
count_objects,Solar Flare Color Match 103,Count 1 bright yellow solar flare glowing on the sun!,sun1.webp,audio_q1.mp3,1,1,2,3,,☀️,1,,,,,,,
count_objects,Solar Flare Color Match 103,Count 2 orange solar flare bursts in space!,sun2.webp,audio_q2.mp3,1,2,1,3,,🔥,2,,,,,,,
count_objects,Solar Flare Color Match 103,Count 3 yellow sun symbols glowing bright!,sun3.webp,audio_q3.mp3,1,3,2,4,,☀️,3,,,,,,,
count_objects,Solar Flare Color Match 103,Count 4 solar flares radiating warmth!,flare4.webp,audio_q4.mp3,1,4,3,5,,🔥,4,,,,,,,
count_objects,Solar Flare Color Match 103,Count 5 sun badges awarded to Astronaut Leo!,badge5.webp,audio_q5.mp3,1,5,4,6,,🏅,5,,,,,,,
count_objects,Solar Flare Color Match 103,Count 6 glowing sun symbols in the sky!,sun6.webp,audio_q6.mp3,1,6,5,7,,☀️,6,,,,,,,
count_objects,Solar Flare Color Match 103,Count 7 solar flare bursts shining bright orange!,flare7.webp,audio_q7.mp3,1,7,6,8,,🔥,7,,,,,,,
count_objects,Solar Flare Color Match 103,Count 8 sunny stars glowing in deep space!,sun8.webp,audio_q8.mp3,1,8,7,9,,☀️,8,,,,,,,
multiple_choice,Solar Flare Color Match 103,Which picture shows 1 glowing sun?,mc_q9.webp,audio_q9.mp3,1,1,2,3,,,1,,,,,,,
multiple_choice,Solar Flare Color Match 103,Which picture shows 2 solar flares?,mc_q10.webp,audio_q10.mp3,1,2,1,3,,,2,,,,,,,
multiple_choice,Solar Flare Color Match 103,Which picture shows 3 sun symbols?,mc_q11.webp,audio_q11.mp3,1,3,2,4,,,3,,,,,,,
multiple_choice,Solar Flare Color Match 103,What color is the glowing solar flare?,flarecol.webp,audio_q12.mp3,1,☀️,🔵,🟢,,,1,,,,,,,
multiple_choice,Solar Flare Color Match 103,Which sun is HOT & BRIGHT?,hotsun.webp,audio_q13.mp3,1,☀️,🧊,🪨,,,1,,,,,,,
multiple_choice,Solar Flare Color Match 103,What shape is the round sun disk?,sunshape.webp,audio_q14.mp3,1,🟡,🟦,🔺,,,1,,,,,,,
