question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
count_objects,Constellation Star Connect 104,Count 1 constellation star in the night sky!,star1.webp,audio_q1.mp3,1,1,2,3,,⭐,1,,,,,,,
count_objects,Constellation Star Connect 104,Count 2 stars connected by glowing lines!,star2.webp,audio_q2.mp3,1,2,1,3,,⭐,2,,,,,,,
count_objects,Constellation Star Connect 104,Count 3 constellation stars forming a shape!,shape3.webp,audio_q3.mp3,1,3,2,4,,✨,3,,,,,,,
count_objects,Constellation Star Connect 104,Count 4 glowing stars in the Great Bear constellation!,star4.webp,audio_q4.mp3,1,4,3,5,,⭐,4,,,,,,,
count_objects,Constellation Star Connect 104,Count 5 connected stars shining bright!,star5.webp,audio_q5.mp3,1,5,4,6,,✨,5,,,,,,,
count_objects,Constellation Star Connect 104,Count 6 stars forming a lion constellation shape!,lion6.webp,audio_q6.mp3,1,6,5,7,,⭐,6,,,,,,,
count_objects,Constellation Star Connect 104,Count 7 constellation points drawn by Leo!,point7.webp,audio_q7.mp3,1,7,6,8,,✨,7,,,,,,,
count_objects,Constellation Star Connect 104,Count 8 constellation stars shining in the galaxy!,star8.webp,audio_q8.mp3,1,8,7,9,,⭐,8,,,,,,,
multiple_choice,Constellation Star Connect 104,Which picture shows 1 constellation star?,mc_q9.webp,audio_q9.mp3,1,1,2,3,,,1,,,,,,,
multiple_choice,Constellation Star Connect 104,Which picture shows 2 connected stars?,mc_q10.webp,audio_q10.mp3,1,2,1,3,,,2,,,,,,,
multiple_choice,Constellation Star Connect 104,Which picture shows 3 constellation stars?,mc_q11.webp,audio_q11.mp3,1,3,2,4,,,3,,,,,,,
multiple_choice,Constellation Star Connect 104,Which star is BRIGHT & SHINY?,brightstar.webp,audio_q12.mp3,1,⭐,🪨,🕳️,,,1,,,,,,,
multiple_choice,Constellation Star Connect 104,Which constellation is IN DEEP SPACE?,spacein.webp,audio_q13.mp3,1,🌌,🕳️,🌊,,,1,,,,,,,
multiple_choice,Constellation Star Connect 104,What shape do 3 connected stars form?,starshape.webp,audio_q14.mp3,1,🔺,🟡,🟦,,,1,,,,,,,
