question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
count_objects,Space Explorer Master 105,Count 1 golden space trophy won by Astronaut Leo!,trophy1.webp,audio_q1.mp3,1,1,2,3,,🏆,1,,,,,,,
count_objects,Space Explorer Master 105,Count 2 space explorer badges awarded in orbit!,badge2.webp,audio_q2.mp3,1,2,1,3,,🏅,2,,,,,,,
count_objects,Space Explorer Master 105,Count 3 space rockets celebrating victory!,rocket3.webp,audio_q3.mp3,1,3,2,4,,🚀,3,,,,,,,
count_objects,Space Explorer Master 105,Count 4 golden star coins collected in deep space!,coin4.webp,audio_q4.mp3,1,4,3,5,,⭐,4,,,,,,,
count_objects,Space Explorer Master 105,Count 5 sparkling space fireworks lighting the galaxy!,fire5.webp,audio_q5.mp3,1,5,4,6,,🎆,5,,,,,,,
count_objects,Space Explorer Master 105,Count 6 master space banners waving high!,banner6.webp,audio_q6.mp3,1,6,5,7,,🚩,6,,,,,,,
count_objects,Space Explorer Master 105,Count 7 victory star medals on screen!,star7.webp,audio_q7.mp3,1,7,6,8,,🥇,7,,,,,,,
count_objects,Space Explorer Master 105,Count 8 astronaut champions cheering in orbit!,cheer8.webp,audio_q8.mp3,1,8,7,9,,🥳,8,,,,,,,
multiple_choice,Space Explorer Master 105,Which picture shows 1 golden trophy?,mc_q9.webp,audio_q9.mp3,1,1,2,3,,,1,,,,,,,
multiple_choice,Space Explorer Master 105,Which picture shows 2 master badges?,mc_q10.webp,audio_q10.mp3,1,2,1,3,,,2,,,,,,,
multiple_choice,Space Explorer Master 105,Which picture shows 3 astronaut champions?,mc_q11.webp,audio_q11.mp3,1,3,2,4,,,3,,,,,,,
multiple_choice,Space Explorer Master 105,Which trophy is GOLDEN & SHINY?,goldtrophy.webp,audio_q12.mp3,1,🏆,🪨,🪵,,,1,,,,,,,
multiple_choice,Space Explorer Master 105,Which victory star is HIGH in deep space?,highstar.webp,audio_q13.mp3,1,🌌,🌾,🌊,,,1,,,,,,,
multiple_choice,Space Explorer Master 105,Tap the Space Explorer Master Champion badge!,masterbadge.webp,audio_q14.mp3,1,👑,🪨,📦,,,1,,,,,,,
