question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
count_objects,Circus Clown Juggling 106,Count 1 colorful juggling ball in the air!,ball1.webp,audio_q1.mp3,1,1,2,3,,⚽,1,,,,,,,
count_objects,Circus Clown Juggling 106,Count 2 circus clowns juggling together!,clown2.webp,audio_q2.mp3,1,2,1,3,,🤡,2,,,,,,,
count_objects,Circus Clown Juggling 106,Count 3 juggling pins flying in an arc!,pin3.webp,audio_q3.mp3,1,3,2,4,,🤹,3,,,,,,,
count_objects,Circus Clown Juggling 106,Count 4 bright juggling balls tossed high!,ball4.webp,audio_q4.mp3,1,4,3,5,,⚽,4,,,,,,,
count_objects,Circus Clown Juggling 106,Count 5 silly circus clowns smiling on stage!,clown5.webp,audio_q5.mp3,1,5,4,6,,🤡,5,,,,,,,
count_objects,Circus Clown Juggling 106,Count 6 juggling pins caught by Clown Leo!,pin6.webp,audio_q6.mp3,1,6,5,7,,🤹,6,,,,,,,
count_objects,Circus Clown Juggling 106,Count 7 circus stars performing for the crowd!,star7.webp,audio_q7.mp3,1,7,6,8,,⭐,7,,,,,,,
count_objects,Circus Clown Juggling 106,Count 8 juggling balls spinning in the air!,ball8.webp,audio_q8.mp3,1,8,7,9,,⚽,8,,,,,,,
multiple_choice,Circus Clown Juggling 106,Which picture shows 1 juggling ball?,mc_q9.webp,audio_q9.mp3,1,1,2,3,,,1,,,,,,,
multiple_choice,Circus Clown Juggling 106,Which picture shows 2 circus clowns?,mc_q10.webp,audio_q10.mp3,1,2,1,3,,,2,,,,,,,
multiple_choice,Circus Clown Juggling 106,Which picture shows 3 juggling pins?,mc_q11.webp,audio_q11.mp3,1,3,2,4,,,3,,,,,,,
multiple_choice,Circus Clown Juggling 106,Which clown nose is RED & ROUND?,rednose.webp,audio_q12.mp3,1,🔴,🟦,🔺,,,1,,,,,,,
multiple_choice,Circus Clown Juggling 106,Which juggling ball is HIGH in the air?,highball.webp,audio_q13.mp3,1,⚽,🌾,🕳️,,,1,,,,,,,
multiple_choice,Circus Clown Juggling 106,What color is the funny clown wig?,wigcol.webp,audio_q14.mp3,1,🌈,⬛,⬜,,,1,,,,,,,
