question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
count_objects,Circus Popcorn Stand 107,Count 1 delicious red bag of popcorn!,pop1.webp,audio_q1.mp3,1,1,2,3,,🍿,1,,,,,,,
count_objects,Circus Popcorn Stand 107,Count 2 popcorn bags at the carnival stand!,pop2.webp,audio_q2.mp3,1,2,1,3,,🍿,2,,,,,,,
count_objects,Circus Popcorn Stand 107,Count 3 fluffy popcorn kernels popping high!,pop3.webp,audio_q3.mp3,1,3,2,4,,🍿,3,,,,,,,
count_objects,Circus Popcorn Stand 107,Count 4 popcorn buckets served by Leo!,pop4.webp,audio_q4.mp3,1,4,3,5,,🍿,4,,,,,,,
count_objects,Circus Popcorn Stand 107,Count 5 bags of popcorn lined up on the counter!,pop5.webp,audio_q5.mp3,1,5,4,6,,🍿,5,,,,,,,
count_objects,Circus Popcorn Stand 107,Count 6 warm popcorn boxes for circus guests!,pop6.webp,audio_q6.mp3,1,6,5,7,,🍿,6,,,,,,,
count_objects,Circus Popcorn Stand 107,Count 7 popcorn tickets collected by Leo!,ticket7.webp,audio_q7.mp3,1,7,6,8,,🎟️,7,,,,,,,
count_objects,Circus Popcorn Stand 107,Count 8 popcorn bags ready to eat!,pop8.webp,audio_q8.mp3,1,8,7,9,,🍿,8,,,,,,,
multiple_choice,Circus Popcorn Stand 107,Which picture shows 1 popcorn bag?,mc_q9.webp,audio_q9.mp3,1,1,2,3,,,1,,,,,,,
multiple_choice,Circus Popcorn Stand 107,Which picture shows 2 popcorn bags?,mc_q10.webp,audio_q10.mp3,1,2,1,3,,,2,,,,,,,
multiple_choice,Circus Popcorn Stand 107,Which picture shows 3 popcorn buckets?,mc_q11.webp,audio_q11.mp3,1,3,2,4,,,3,,,,,,,
multiple_choice,Circus Popcorn Stand 107,Which popcorn bag is FULL of popcorn?,fullpop.webp,audio_q12.mp3,1,🍿,🫙,🪨,,,1,,,,,,,
multiple_choice,Circus Popcorn Stand 107,Which popcorn stand is NEAR the circus tent?,nearstand.webp,audio_q13.mp3,1,🎪,🏔️,🌊,,,1,,,,,,,
multiple_choice,Circus Popcorn Stand 107,What color is the striped popcorn box?,boxcol.webp,audio_q14.mp3,1,⚪,⬛,🟢,,,1,,,,,,,
