question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
count_objects,Circus Balloon Animal Match 108,Count 1 red balloon dog twisted by the clown!,dog1.webp,audio_q1.mp3,1,1,2,3,,🎈,1,,,,,,,
count_objects,Circus Balloon Animal Match 108,Count 2 balloon dogs floating on strings!,dog2.webp,audio_q2.mp3,1,2,1,3,,🎈,2,,,,,,,
count_objects,Circus Balloon Animal Match 108,Count 3 yellow balloon giraffes in the tent!,gir3.webp,audio_q3.mp3,1,3,2,4,,🎈,3,,,,,,,
count_objects,Circus Balloon Animal Match 108,Count 4 colorful balloon animals in a row!,anim4.webp,audio_q4.mp3,1,4,3,5,,🎈,4,,,,,,,
count_objects,Circus Balloon Animal Match 108,Count 5 balloon dogs created for carnival kids!,dog5.webp,audio_q5.mp3,1,5,4,6,,🎈,5,,,,,,,
count_objects,Circus Balloon Animal Match 108,Count 6 balloon animals floating high!,anim6.webp,audio_q6.mp3,1,6,5,7,,🎈,6,,,,,,,
count_objects,Circus Balloon Animal Match 108,Count 7 balloon stars twisting together!,star7.webp,audio_q7.mp3,1,7,6,8,,⭐,7,,,,,,,
count_objects,Circus Balloon Animal Match 108,Count 8 balloon animals in Captain Leo's bouquet!,anim8.webp,audio_q8.mp3,1,8,7,9,,🎈,8,,,,,,,
multiple_choice,Circus Balloon Animal Match 108,Which picture shows 1 balloon dog?,mc_q9.webp,audio_q9.mp3,1,1,2,3,,,1,,,,,,,
multiple_choice,Circus Balloon Animal Match 108,Which picture shows 2 balloon dogs?,mc_q10.webp,audio_q10.mp3,1,2,1,3,,,2,,,,,,,
multiple_choice,Circus Balloon Animal Match 108,Which picture shows 3 balloon giraffes?,mc_q11.webp,audio_q11.mp3,1,3,2,4,,,3,,,,,,,
multiple_choice,Circus Balloon Animal Match 108,Which balloon giraffe is TALL?,tallgir.webp,audio_q12.mp3,1,🎈,🐭,🪨,,,1,,,,,,,
multiple_choice,Circus Balloon Animal Match 108,Which balloon animal is LIGHT & FLOATING?,floatbal.webp,audio_q13.mp3,1,🎈,⚒️,🪨,,,1,,,,,,,
multiple_choice,Circus Balloon Animal Match 108,What shape is the round party balloon?,balshape.webp,audio_q14.mp3,1,🟡,🟦,🔺,,,1,,,,,,,
