question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
count_objects,Circus Ringmaster Salute 109,Count 1 black top hat worn by Ringmaster Leo!,hat1.webp,audio_q1.mp3,1,1,2,3,,🎩,1,,,,,,,
count_objects,Circus Ringmaster Salute 109,Count 2 brass trumpets sounding the fanfare!,trump2.webp,audio_q2.mp3,1,2,1,3,,🎺,2,,,,,,,
count_objects,Circus Ringmaster Salute 109,Count 3 ringmaster hats lined up on stage!,hat3.webp,audio_q3.mp3,1,3,2,4,,🎩,3,,,,,,,
count_objects,Circus Ringmaster Salute 109,Count 4 golden trumpets playing circus music!,trump4.webp,audio_q4.mp3,1,4,3,5,,🎺,4,,,,,,,
count_objects,Circus Ringmaster Salute 109,Count 5 ringmaster salutes to the cheering crowd!,salute5.webp,audio_q5.mp3,1,5,4,6,,🎩,5,,,,,,,
count_objects,Circus Ringmaster Salute 109,Count 6 circus batons twirling on stage!,baton6.webp,audio_q6.mp3,1,6,5,7,,🪄,6,,,,,,,
count_objects,Circus Ringmaster Salute 109,Count 7 ringmaster badges earned by Leo!,badge7.webp,audio_q7.mp3,1,7,6,8,,🎖️,7,,,,,,,
count_objects,Circus Ringmaster Salute 109,Count 8 trumpets sounding the finale salute!,trump8.webp,audio_q8.mp3,1,8,7,9,,🎺,8,,,,,,,
multiple_choice,Circus Ringmaster Salute 109,Which picture shows 1 ringmaster hat?,mc_q9.webp,audio_q9.mp3,1,1,2,3,,,1,,,,,,,
multiple_choice,Circus Ringmaster Salute 109,Which picture shows 2 brass trumpets?,mc_q10.webp,audio_q10.mp3,1,2,1,3,,,2,,,,,,,
multiple_choice,Circus Ringmaster Salute 109,Which picture shows 3 ringmaster hats?,mc_q11.webp,audio_q11.mp3,1,3,2,4,,,3,,,,,,,
multiple_choice,Circus Ringmaster Salute 109,Which top hat is TALL & BLACK?,tallhat.webp,audio_q12.mp3,1,🎩,🧢,🔘,,,1,,,,,,,
multiple_choice,Circus Ringmaster Salute 109,Which ringmaster is STANDING ON STAGE?,stageon.webp,audio_q13.mp3,1,🎪,🌊,🕳️,,,1,,,,,,,
multiple_choice,Circus Ringmaster Salute 109,What color is the ringmaster's suit coat?,coatcol.webp,audio_q14.mp3,1,🔴,🔵,🟢,,,1,,,,,,,
