question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
count_objects,Circus Tightrope Balance 110,Count 1 acrobat balancing on the tightrope!,acro1.webp,audio_q1.mp3,1,1,2,3,,🤸,1,,,,,,,
count_objects,Circus Tightrope Balance 110,Count 2 tightrope walkers balancing high up!,acro2.webp,audio_q2.mp3,1,2,1,3,,🤸,2,,,,,,,
count_objects,Circus Tightrope Balance 110,Count 3 balance umbrellas held by acrobats!,umb3.webp,audio_q3.mp3,1,3,2,4,,☂️,3,,,,,,,
count_objects,Circus Tightrope Balance 110,Count 4 tightrope steps across the wire!,step4.webp,audio_q4.mp3,1,4,3,5,,🦶,4,,,,,,,
count_objects,Circus Tightrope Balance 110,Count 5 balance poles held steady in mid-air!,pole5.webp,audio_q5.mp3,1,5,4,6,,🦯,5,,,,,,,
count_objects,Circus Tightrope Balance 110,Count 6 acrobats completing the wire walk!,acro6.webp,audio_q6.mp3,1,6,5,7,,🤸,6,,,,,,,
count_objects,Circus Tightrope Balance 110,Count 7 safety nets set up below the wire!,net7.webp,audio_q7.mp3,1,7,6,8,,🕸️,7,,,,,,,
count_objects,Circus Tightrope Balance 110,Count 8 balance steps taken by Acrobat Leo!,step8.webp,audio_q8.mp3,1,8,7,9,,🦶,8,,,,,,,
multiple_choice,Circus Tightrope Balance 110,Which picture shows 1 acrobat balancing?,mc_q9.webp,audio_q9.mp3,1,1,2,3,,,1,,,,,,,
multiple_choice,Circus Tightrope Balance 110,Which picture shows 2 tightrope walkers?,mc_q10.webp,audio_q10.mp3,1,2,1,3,,,2,,,,,,,
multiple_choice,Circus Tightrope Balance 110,Which picture shows 3 balance umbrellas?,mc_q11.webp,audio_q11.mp3,1,3,2,4,,,3,,,,,,,
multiple_choice,Circus Tightrope Balance 110,Which tightrope is HIGH ABOVE the stage?,hightight.webp,audio_q12.mp3,1,🤸,🌾,🌊,,,1,,,,,,,
multiple_choice,Circus Tightrope Balance 110,Which balance pole is LONG?,longpole.webp,audio_q13.mp3,1,🦯,✏️,🪙,,,1,,,,,,,
multiple_choice,Circus Tightrope Balance 110,Which net is BELOW the tightrope?,netbelow.webp,audio_q14.mp3,1,🕸️,☁️,☀️,,,1,,,,,,,
