question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
count_objects,Circus Elephant Trick Count 111,Count 1 giant circus elephant standing on a tub!,ele1.webp,audio_q1.mp3,1,1,2,3,,🐘,1,,,,,,,
count_objects,Circus Elephant Trick Count 111,Count 2 circus elephants performing trick stands!,ele2.webp,audio_q2.mp3,1,2,1,3,,🐘,2,,,,,,,
count_objects,Circus Elephant Trick Count 111,Count 3 circus balls balanced on elephant trunks!,ball3.webp,audio_q3.mp3,1,3,2,4,,⚽,3,,,,,,,
count_objects,Circus Elephant Trick Count 111,Count 4 friendly elephants in a circus ring!,ele4.webp,audio_q4.mp3,1,4,3,5,,🐘,4,,,,,,,
count_objects,Circus Elephant Trick Count 111,Count 5 circus stools where elephants sit!,stool5.webp,audio_q5.mp3,1,5,4,6,,🪑,5,,,,,,,
count_objects,Circus Elephant Trick Count 111,Count 6 circus elephants doing trunk tricks!,ele6.webp,audio_q6.mp3,1,6,5,7,,🐘,6,,,,,,,
count_objects,Circus Elephant Trick Count 111,Count 7 circus star peanuts fed to the elephants!,nut7.webp,audio_q7.mp3,1,7,6,8,,🥜,7,,,,,,,
count_objects,Circus Elephant Trick Count 111,Count 8 circus elephants bowing to the crowd!,ele8.webp,audio_q8.mp3,1,8,7,9,,🐘,8,,,,,,,
multiple_choice,Circus Elephant Trick Count 111,Which picture shows 1 circus elephant?,mc_q9.webp,audio_q9.mp3,1,1,2,3,,,1,,,,,,,
multiple_choice,Circus Elephant Trick Count 111,Which picture shows 2 circus elephants?,mc_q10.webp,audio_q10.mp3,1,2,1,3,,,2,,,,,,,
multiple_choice,Circus Elephant Trick Count 111,Which picture shows 3 balanced balls?,mc_q11.webp,audio_q11.mp3,1,3,2,4,,,3,,,,,,,
multiple_choice,Circus Elephant Trick Count 111,Which circus animal is GIANT & HEAVY?,bigele.webp,audio_q12.mp3,1,🐘,🐭,🐜,,,1,,,,,,,
multiple_choice,Circus Elephant Trick Count 111,Which ball is ON TOP OF the elephant trunk?,trunktop.webp,audio_q13.mp3,1,🐘,🕳️,🌊,,,1,,,,,,,
multiple_choice,Circus Elephant Trick Count 111,What color is the friendly circus elephant?,elecol.webp,audio_q14.mp3,1,🐘,🔴,🟡,,,1,,,,,,,
