question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
count_objects,Circus Unicycle Ride 112,Count 1 shiny unicycle ridden by a clown!,uni1.webp,audio_q1.mp3,1,1,2,3,,🚲,1,,,,,,,
count_objects,Circus Unicycle Ride 112,Count 2 unicycles spinning in the arena!,uni2.webp,audio_q2.mp3,1,2,1,3,,🚲,2,,,,,,,
count_objects,Circus Unicycle Ride 112,Count 3 round unicycle wheels turning!,wheel3.webp,audio_q3.mp3,1,3,2,4,,⚙️,3,,,,,,,
count_objects,Circus Unicycle Ride 112,Count 4 unicycles in a circus parade!,uni4.webp,audio_q4.mp3,1,4,3,5,,🚲,4,,,,,,,
count_objects,Circus Unicycle Ride 112,Count 5 unicycle riders balancing together!,rider5.webp,audio_q5.mp3,1,5,4,6,,🚴,5,,,,,,,
count_objects,Circus Unicycle Ride 112,Count 6 unicycles zooming around the ring!,uni6.webp,audio_q6.mp3,1,6,5,7,,🚲,6,,,,,,,
count_objects,Circus Unicycle Ride 112,Count 7 unicycle trick badges earned by Leo!,badge7.webp,audio_q7.mp3,1,7,6,8,,🏅,7,,,,,,,
count_objects,Circus Unicycle Ride 112,Count 8 unicycle wheels spinning fast!,wheel8.webp,audio_q8.mp3,1,8,7,9,,⚙️,8,,,,,,,
multiple_choice,Circus Unicycle Ride 112,Which picture shows 1 unicycle?,mc_q9.webp,audio_q9.mp3,1,1,2,3,,,1,,,,,,,
multiple_choice,Circus Unicycle Ride 112,Which picture shows 2 unicycles?,mc_q10.webp,audio_q10.mp3,1,2,1,3,,,2,,,,,,,
multiple_choice,Circus Unicycle Ride 112,Which picture shows 3 unicycle wheels?,mc_q11.webp,audio_q11.mp3,1,3,2,4,,,3,,,,,,,
multiple_choice,Circus Unicycle Ride 112,What shape is the single unicycle wheel?,wheelshape.webp,audio_q12.mp3,1,🟡,🟦,🔺,,,1,,,,,,,
multiple_choice,Circus Unicycle Ride 112,Which unicycle is riding FAST?,fastuni.webp,audio_q13.mp3,1,🚲,🐢,🪨,,,1,,,,,,,
multiple_choice,Circus Unicycle Ride 112,Which clown is ON TOP OF the unicycle?,clowntop.webp,audio_q14.mp3,1,🚲,🕳️,🌊,,,1,,,,,,,
