question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
count_objects,Circus Fire Hoop Jump 113,Count 1 glowing fire hoop in the circus ring!,hoop1.webp,audio_q1.mp3,1,1,2,3,,🔥,1,,,,,,,
count_objects,Circus Fire Hoop Jump 113,Count 2 tigers leaping through hoops!,tiger2.webp,audio_q2.mp3,1,2,1,3,,🐯,2,,,,,,,
count_objects,Circus Fire Hoop Jump 113,Count 3 fire hoops held up by Leo!,hoop3.webp,audio_q3.mp3,1,3,2,4,,🔥,3,,,,,,,
count_objects,Circus Fire Hoop Jump 113,Count 4 brave tigers jumping together!,tiger4.webp,audio_q4.mp3,1,4,3,5,,🐯,4,,,,,,,
count_objects,Circus Fire Hoop Jump 113,Count 5 glowing fire hoops in a row!,hoop5.webp,audio_q5.mp3,1,5,4,6,,🔥,5,,,,,,,
count_objects,Circus Fire Hoop Jump 113,Count 6 tiger leaps across the arena!,jump6.webp,audio_q6.mp3,1,6,5,7,,🐯,6,,,,,,,
count_objects,Circus Fire Hoop Jump 113,Count 7 fire hoop badges awarded to Leo!,badge7.webp,audio_q7.mp3,1,7,6,8,,🏅,7,,,,,,,
count_objects,Circus Fire Hoop Jump 113,Count 8 glowing hoops in the finale act!,hoop8.webp,audio_q8.mp3,1,8,7,9,,🔥,8,,,,,,,
multiple_choice,Circus Fire Hoop Jump 113,Which picture shows 1 fire hoop?,mc_q9.webp,audio_q9.mp3,1,1,2,3,,,1,,,,,,,
multiple_choice,Circus Fire Hoop Jump 113,Which picture shows 2 leaping tigers?,mc_q10.webp,audio_q10.mp3,1,2,1,3,,,2,,,,,,,
multiple_choice,Circus Fire Hoop Jump 113,Which picture shows 3 fire hoops?,mc_q11.webp,audio_q11.mp3,1,3,2,4,,,3,,,,,,,
multiple_choice,Circus Fire Hoop Jump 113,What shape is the round fire hoop?,hoopshape.webp,audio_q12.mp3,1,🟡,🟦,🔺,,,1,,,,,,,
multiple_choice,Circus Fire Hoop Jump 113,Which tiger is jumping THROUGH the hoop?,throughhoop.webp,audio_q13.mp3,1,🔥,🕳️,🌊,,,1,,,,,,,
multiple_choice,Circus Fire Hoop Jump 113,What color is the glowing fire hoop?,hoopcol.webp,audio_q14.mp3,1,🔥,🔵,🟢,,,1,,,,,,,
