question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
count_objects,Circus Cotton Candy Sort 114,Count 1 pink fluffy cotton candy on a stick!,candy1.webp,audio_q1.mp3,1,1,2,3,,🍭,1,,,,,,,
count_objects,Circus Cotton Candy Sort 114,Count 2 blue cotton candy cones at the booth!,candy2.webp,audio_q2.mp3,1,2,1,3,,🍭,2,,,,,,,
count_objects,Circus Cotton Candy Sort 114,Count 3 pink and blue cotton candies in a row!,candy3.webp,audio_q3.mp3,1,3,2,4,,🍭,3,,,,,,,
count_objects,Circus Cotton Candy Sort 114,Count 4 sweet cotton candy cones spun by Leo!,candy4.webp,audio_q4.mp3,1,4,3,5,,🍭,4,,,,,,,
count_objects,Circus Cotton Candy Sort 114,Count 5 fluffy cotton candy sticks lined up!,candy5.webp,audio_q5.mp3,1,5,4,6,,🍭,5,,,,,,,
count_objects,Circus Cotton Candy Sort 114,Count 6 sweet cotton candy cones for carnival friends!,candy6.webp,audio_q6.mp3,1,6,5,7,,🍭,6,,,,,,,
count_objects,Circus Cotton Candy Sort 114,Count 7 candy tickets collected by Leo!,ticket7.webp,audio_q7.mp3,1,7,6,8,,🎟️,7,,,,,,,
count_objects,Circus Cotton Candy Sort 114,Count 8 sweet cotton candy cones ready for treats!,candy8.webp,audio_q8.mp3,1,8,7,9,,🍭,8,,,,,,,
multiple_choice,Circus Cotton Candy Sort 114,Which picture shows 1 cotton candy?,mc_q9.webp,audio_q9.mp3,1,1,2,3,,,1,,,,,,,
multiple_choice,Circus Cotton Candy Sort 114,Which picture shows 2 cotton candies?,mc_q10.webp,audio_q10.mp3,1,2,1,3,,,2,,,,,,,
multiple_choice,Circus Cotton Candy Sort 114,Which picture shows 3 cotton candy cones?,mc_q11.webp,audio_q11.mp3,1,3,2,4,,,3,,,,,,,
multiple_choice,Circus Cotton Candy Sort 114,Which cotton candy is PINK & SWEET?,pinkcandy.webp,audio_q12.mp3,1,🍭,🪨,🪵,,,1,,,,,,,
multiple_choice,Circus Cotton Candy Sort 114,Which cotton candy is SOFT & FLUFFY?,fluffycandy.webp,audio_q13.mp3,1,🍭,🪨,⚓,,,1,,,,,,,
multiple_choice,Circus Cotton Candy Sort 114,Which candy is ON THE STICK?,stickon.webp,audio_q14.mp3,1,🍭,🕳️,🌊,,,1,,,,,,,
