question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
count_objects,Deep Sea Dolphin Swim 116,Count 1 playful blue dolphin leaping from the ocean!,dolph1.webp,audio_q1.mp3,1,1,2,3,,🐬,1,,,,,,,
count_objects,Deep Sea Dolphin Swim 116,Count 2 dolphins swimming together in deep water!,dolph2.webp,audio_q2.mp3,1,2,1,3,,🐬,2,,,,,,,
count_objects,Deep Sea Dolphin Swim 116,Count 3 ocean waves splashing high!,wave3.webp,audio_q3.mp3,1,3,2,4,,🌊,3,,,,,,,
count_objects,Deep Sea Dolphin Swim 116,Count 4 dolphins leaping over coral reefs!,dolph4.webp,audio_q4.mp3,1,4,3,5,,🐬,4,,,,,,,
count_objects,Deep Sea Dolphin Swim 116,Count 5 sea bubbles floating to the surface!,bub5.webp,audio_q5.mp3,1,5,4,6,,🫧,5,,,,,,,
count_objects,Deep Sea Dolphin Swim 116,Count 6 dolphins performing acrobat jumps!,dolph6.webp,audio_q6.mp3,1,6,5,7,,🐬,6,,,,,,,
count_objects,Deep Sea Dolphin Swim 116,Count 7 ocean star badges earned by Diver Leo!,star7.webp,audio_q7.mp3,1,7,6,8,,⭐,7,,,,,,,
count_objects,Deep Sea Dolphin Swim 116,Count 8 dolphins swimming in a ocean pod!,dolph8.webp,audio_q8.mp3,1,8,7,9,,🐬,8,,,,,,,
multiple_choice,Deep Sea Dolphin Swim 116,Which picture shows 1 playful dolphin?,mc_q9.webp,audio_q9.mp3,1,1,2,3,,,1,,,,,,,
multiple_choice,Deep Sea Dolphin Swim 116,Which picture shows 2 dolphins swimming?,mc_q10.webp,audio_q10.mp3,1,2,1,3,,,2,,,,,,,
multiple_choice,Deep Sea Dolphin Swim 116,Which picture shows 3 ocean waves?,mc_q11.webp,audio_q11.mp3,1,3,2,4,,,3,,,,,,,
multiple_choice,Deep Sea Dolphin Swim 116,Which dolphin is swimming FAST?,fastdolph.webp,audio_q12.mp3,1,🐬,🦀,🪨,,,1,,,,,,,
multiple_choice,Deep Sea Dolphin Swim 116,Which dolphin is LEAPING HIGH above water?,highdolph.webp,audio_q13.mp3,1,🐬,🌊,🏖️,,,1,,,,,,,
multiple_choice,Deep Sea Dolphin Swim 116,What color is the friendly ocean dolphin?,dolphcol.webp,audio_q14.mp3,1,🔵,🔴,🟡,,,1,,,,,,,
