question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
count_objects,Submarine Depth Explorer 118,Count 1 yellow submarine exploring the ocean floor!,sub1.webp,audio_q1.mp3,1,1,2,3,,🚤,1,,,,,,,
count_objects,Submarine Depth Explorer 118,Count 2 yellow submarines diving deep together!,sub2.webp,audio_q2.mp3,1,2,1,3,,🚤,2,,,,,,,
count_objects,Submarine Depth Explorer 118,Count 3 round submarine port holes!,hole3.webp,audio_q3.mp3,1,3,2,4,,🪟,3,,,,,,,
count_objects,Submarine Depth Explorer 118,Count 4 yellow submarines in deep sea exploration!,sub4.webp,audio_q4.mp3,1,4,3,5,,🚤,4,,,,,,,
count_objects,Submarine Depth Explorer 118,Count 5 glowing submarine lights in the dark water!,light5.webp,audio_q5.mp3,1,5,4,6,,💡,5,,,,,,,
count_objects,Submarine Depth Explorer 118,Count 6 submarines exploring coral trenches!,sub6.webp,audio_q6.mp3,1,6,5,7,,🚤,6,,,,,,,
count_objects,Submarine Depth Explorer 118,Count 7 depth gauges checked by Captain Leo!,gauge7.webp,audio_q7.mp3,1,7,6,8,,🧭,7,,,,,,,
count_objects,Submarine Depth Explorer 118,Count 8 yellow submarines returning to harbor!,sub8.webp,audio_q8.mp3,1,8,7,9,,🚤,8,,,,,,,
multiple_choice,Submarine Depth Explorer 118,Which picture shows 1 yellow submarine?,mc_q9.webp,audio_q9.mp3,1,1,2,3,,,1,,,,,,,
multiple_choice,Submarine Depth Explorer 118,Which picture shows 2 yellow submarines?,mc_q10.webp,audio_q10.mp3,1,2,1,3,,,2,,,,,,,
multiple_choice,Submarine Depth Explorer 118,Which picture shows 3 submarine port holes?,mc_q11.webp,audio_q11.mp3,1,3,2,4,,,3,,,,,,,
multiple_choice,Submarine Depth Explorer 118,Which submarine is DEEP UNDER WATER?,deepsub.webp,audio_q12.mp3,1,🌊,☁️,🌳,,,1,,,,,,,
multiple_choice,Submarine Depth Explorer 118,What color is Captain Leo's explorer submarine?,subcol.webp,audio_q13.mp3,1,🟡,⬛,🔴,,,1,,,,,,,
multiple_choice,Submarine Depth Explorer 118,What shape is the submarine's glass window?,winshape.webp,audio_q14.mp3,1,🟡,🟦,🔺,,,1,,,,,,,
