question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
count_objects,Coral Reef Fish School 119,Count 1 colorful clownfish swimming near coral!,fish1.webp,audio_q1.mp3,1,1,2,3,,🐠,1,,,,,,,
count_objects,Coral Reef Fish School 119,Count 2 tropical fish swimming in a school!,fish2.webp,audio_q2.mp3,1,2,1,3,,🐠,2,,,,,,,
count_objects,Coral Reef Fish School 119,Count 3 colorful sea anemones on the reef!,coral3.webp,audio_q3.mp3,1,3,2,4,,🪸,3,,,,,,,
count_objects,Coral Reef Fish School 119,Count 4 clownfish playing together near anemones!,fish4.webp,audio_q4.mp3,1,4,3,5,,🐠,4,,,,,,,
count_objects,Coral Reef Fish School 119,Count 5 bright coral branches in the reef!,coral5.webp,audio_q5.mp3,1,5,4,6,,🪸,5,,,,,,,
count_objects,Coral Reef Fish School 119,Count 6 tropical fish swimming in formation!,fish6.webp,audio_q6.mp3,1,6,5,7,,🐠,6,,,,,,,
count_objects,Coral Reef Fish School 119,Count 7 sea star badges collected by Leo!,star7.webp,audio_q7.mp3,1,7,6,8,,⭐,7,,,,,,,
count_objects,Coral Reef Fish School 119,Count 8 clownfish in the coral reef school!,fish8.webp,audio_q8.mp3,1,8,7,9,,🐠,8,,,,,,,
multiple_choice,Coral Reef Fish School 119,Which picture shows 1 clownfish?,mc_q9.webp,audio_q9.mp3,1,1,2,3,,,1,,,,,,,
multiple_choice,Coral Reef Fish School 119,Which picture shows 2 tropical fish?,mc_q10.webp,audio_q10.mp3,1,2,1,3,,,2,,,,,,,
multiple_choice,Coral Reef Fish School 119,Which picture shows 3 coral branches?,mc_q11.webp,audio_q11.mp3,1,3,2,4,,,3,,,,,,,
multiple_choice,Coral Reef Fish School 119,Which fish is SMALL & COLORFUL?,smallfish.webp,audio_q12.mp3,1,🐠,🐋,🪨,,,1,,,,,,,
multiple_choice,Coral Reef Fish School 119,Which fish is NEAR the coral reef?,nearcoral.webp,audio_q13.mp3,1,🪸,☁️,🌳,,,1,,,,,,,
multiple_choice,Coral Reef Fish School 119,What color is the bright clownfish?,fishcol.webp,audio_q14.mp3,1,⚪,⬛,⬜,,,1,,,,,,,
