question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
count_objects,Octopus Tentacle Count 120,Count 1 friendly purple octopus hiding behind coral!,octo1.webp,audio_q1.mp3,1,1,2,3,,🐙,1,,,,,,,
count_objects,Octopus Tentacle Count 120,Count 2 octopuses waving their long arms!,octo2.webp,audio_q2.mp3,1,2,1,3,,🐙,2,,,,,,,
count_objects,Octopus Tentacle Count 120,Count 3 long octopus tentacles reaching out!,tent3.webp,audio_q3.mp3,1,3,2,4,,🐙,3,,,,,,,
count_objects,Octopus Tentacle Count 120,Count 4 octopus suction cups on the glass!,cup4.webp,audio_q4.mp3,1,4,3,5,,🟣,4,,,,,,,
count_objects,Octopus Tentacle Count 120,Count 5 octopus arms wiggling together!,tent5.webp,audio_q5.mp3,1,5,4,6,,🐙,5,,,,,,,
count_objects,Octopus Tentacle Count 120,Count 6 octopuses playing in the ocean garden!,octo6.webp,audio_q6.mp3,1,6,5,7,,🐙,6,,,,,,,
count_objects,Octopus Tentacle Count 120,Count 7 octopus tentacle badges awarded to Leo!,badge7.webp,audio_q7.mp3,1,7,6,8,,🏅,7,,,,,,,
count_objects,Octopus Tentacle Count 120,Count 8 long tentacles on the friendly octopus!,tent8.webp,audio_q8.mp3,1,8,7,9,,🐙,8,,,,,,,
multiple_choice,Octopus Tentacle Count 120,Which picture shows 1 octopus?,mc_q9.webp,audio_q9.mp3,1,1,2,3,,,1,,,,,,,
multiple_choice,Octopus Tentacle Count 120,Which picture shows 2 octopuses?,mc_q10.webp,audio_q10.mp3,1,2,1,3,,,2,,,,,,,
multiple_choice,Octopus Tentacle Count 120,Which picture shows 3 octopus tentacles?,mc_q11.webp,audio_q11.mp3,1,3,2,4,,,3,,,,,,,
multiple_choice,Octopus Tentacle Count 120,Which octopus tentacle is LONG & WIGGLY?,longtent.webp,audio_q12.mp3,1,🐙,🦷,🪨,,,1,,,,,,,
multiple_choice,Octopus Tentacle Count 120,Which octopus is BEHIND the ocean rock?,behindrock.webp,audio_q13.mp3,1,🪨,☁️,🌳,,,1,,,,,,,
multiple_choice,Octopus Tentacle Count 120,What color is the friendly octopus?,octocol.webp,audio_q14.mp3,1,🟣,⬛,⚪,,,1,,,,,,,
