question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
count_objects,Sea Turtle Beach Dash 121,Count 1 cute baby sea turtle crawling on sand!,turt1.webp,audio_q1.mp3,1,1,2,3,,🐢,1,,,,,,,
count_objects,Sea Turtle Beach Dash 121,Count 2 sea turtles dashing toward the ocean!,turt2.webp,audio_q2.mp3,1,2,1,3,,🐢,2,,,,,,,
count_objects,Sea Turtle Beach Dash 121,Count 3 sea turtle tracks marked in beach sand!,track3.webp,audio_q3.mp3,1,3,2,4,,🐾,3,,,,,,,
count_objects,Sea Turtle Beach Dash 121,Count 4 baby sea turtles crawling together!,turt4.webp,audio_q4.mp3,1,4,3,5,,🐢,4,,,,,,,
count_objects,Sea Turtle Beach Dash 121,Count 5 sea turtle shells shining under the sun!,shell5.webp,audio_q5.mp3,1,5,4,6,,🐢,5,,,,,,,
count_objects,Sea Turtle Beach Dash 121,Count 6 sea turtles swimming into the waves!,turt6.webp,audio_q6.mp3,1,6,5,7,,🐢,6,,,,,,,
count_objects,Sea Turtle Beach Dash 121,Count 7 ocean star badges earned by Turtle Leo!,badge7.webp,audio_q7.mp3,1,7,6,8,,⭐,7,,,,,,,
count_objects,Sea Turtle Beach Dash 121,Count 8 sea turtles reaching the cool water!,turt8.webp,audio_q8.mp3,1,8,7,9,,🐢,8,,,,,,,
multiple_choice,Sea Turtle Beach Dash 121,Which picture shows 1 baby sea turtle?,mc_q9.webp,audio_q9.mp3,1,1,2,3,,,1,,,,,,,
multiple_choice,Sea Turtle Beach Dash 121,Which picture shows 2 sea turtles?,mc_q10.webp,audio_q10.mp3,1,2,1,3,,,2,,,,,,,
multiple_choice,Sea Turtle Beach Dash 121,Which picture shows 3 turtle tracks?,mc_q11.webp,audio_q11.mp3,1,3,2,4,,,3,,,,,,,
multiple_choice,Sea Turtle Beach Dash 121,Which sea turtle shell is HARD & ROUND?,shellshape.webp,audio_q12.mp3,1,🐢,🪶,📄,,,1,,,,,,,
multiple_choice,Sea Turtle Beach Dash 121,Which sea turtle is ON THE BEACH sand?,beachon.webp,audio_q13.mp3,1,🏖️,☁️,🌳,,,1,,,,,,,
multiple_choice,Sea Turtle Beach Dash 121,What color is the green sea turtle shell?,turtcol.webp,audio_q14.mp3,1,🟢,🔴,🌸,,,1,,,,,,,
