question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
count_objects,Ocean Reef Master 125,Count 1 golden ocean trophy won by Diver Leo!,trophy1.webp,audio_q1.mp3,1,1,2,3,,🏆,1,,,,,,,
count_objects,Ocean Reef Master 125,Count 2 ocean master badges awarded underwater!,badge2.webp,audio_q2.mp3,1,2,1,3,,🏅,2,,,,,,,
count_objects,Ocean Reef Master 125,Count 3 sea creatures celebrating victory!,creature3.webp,audio_q3.mp3,1,3,2,4,,🐬,3,,,,,,,
count_objects,Ocean Reef Master 125,Count 4 golden star pearls collected in deep water!,pearl4.webp,audio_q4.mp3,1,4,3,5,,🦪,4,,,,,,,
count_objects,Ocean Reef Master 125,Count 5 sparkling ocean bubbles lighting the reef!,bubble5.webp,audio_q5.mp3,1,5,4,6,,🫧,5,,,,,,,
count_objects,Ocean Reef Master 125,Count 6 master ocean banners waving underwater!,banner6.webp,audio_q6.mp3,1,6,5,7,,🚩,6,,,,,,,
count_objects,Ocean Reef Master 125,Count 7 victory star medals on screen!,star7.webp,audio_q7.mp3,1,7,6,8,,🥇,7,,,,,,,
count_objects,Ocean Reef Master 125,Count 8 sea champions cheering in the reef!,cheer8.webp,audio_q8.mp3,1,8,7,9,,🥳,8,,,,,,,
multiple_choice,Ocean Reef Master 125,Which picture shows 1 golden ocean trophy?,mc_q9.webp,audio_q9.mp3,1,1,2,3,,,1,,,,,,,
multiple_choice,Ocean Reef Master 125,Which picture shows 2 master badges?,mc_q10.webp,audio_q10.mp3,1,2,1,3,,,2,,,,,,,
multiple_choice,Ocean Reef Master 125,Which picture shows 3 ocean creatures?,mc_q11.webp,audio_q11.mp3,1,3,2,4,,,3,,,,,,,
multiple_choice,Ocean Reef Master 125,Which trophy is GOLDEN & SHINY?,goldtrophy.webp,audio_q12.mp3,1,🏆,🪨,🪵,,,1,,,,,,,
multiple_choice,Ocean Reef Master 125,Which victory pearl is GLOWING IN DEEP WATER?,glowpearl.webp,audio_q13.mp3,1,🌊,☁️,🌳,,,1,,,,,,,
multiple_choice,Ocean Reef Master 125,Tap the Ocean Reef Master Champion badge!,masterbadge.webp,audio_q14.mp3,1,👑,🪨,📦,,,1,,,,,,,
