question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
count_objects,Enchanted Forest Unicorn 126,Count 1 magical white unicorn with a rainbow mane!,uni1.webp,audio_q1.mp3,1,1,2,3,,🦄,1,,,,,,,
count_objects,Enchanted Forest Unicorn 126,Count 2 friendly unicorns galloping through the forest!,uni2.webp,audio_q2.mp3,1,2,1,3,,🦄,2,,,,,,,
count_objects,Enchanted Forest Unicorn 126,Count 3 glowing magic stars sparkling around them!,star3.webp,audio_q3.mp3,1,3,2,4,,✨,3,,,,,,,
count_objects,Enchanted Forest Unicorn 126,Count 4 magical unicorns playing in the glade!,uni4.webp,audio_q4.mp3,1,4,3,5,,🦄,4,,,,,,,
count_objects,Enchanted Forest Unicorn 126,Count 5 rainbow flowers blooming in the grass!,flow5.webp,audio_q5.mp3,1,5,4,6,,🌸,5,,,,,,,
count_objects,Enchanted Forest Unicorn 126,Count 6 unicorns prancing near the waterfall!,uni6.webp,audio_q6.mp3,1,6,5,7,,🦄,6,,,,,,,
count_objects,Enchanted Forest Unicorn 126,Count 7 forest star badges earned by Leo!,badge7.webp,audio_q7.mp3,1,7,6,8,,⭐,7,,,,,,,
count_objects,Enchanted Forest Unicorn 126,Count 8 magical unicorns in the enchanted forest!,uni8.webp,audio_q8.mp3,1,8,7,9,,🦄,8,,,,,,,
multiple_choice,Enchanted Forest Unicorn 126,Which picture shows 1 magical unicorn?,mc_q9.webp,audio_q9.mp3,1,1,2,3,,,1,,,,,,,
multiple_choice,Enchanted Forest Unicorn 126,Which picture shows 2 friendly unicorns?,mc_q10.webp,audio_q10.mp3,1,2,1,3,,,2,,,,,,,
multiple_choice,Enchanted Forest Unicorn 126,Which picture shows 3 glowing stars?,mc_q11.webp,audio_q11.mp3,1,3,2,4,,,3,,,,,,,
multiple_choice,Enchanted Forest Unicorn 126,Which unicorn horn is SHINY & GOLDEN?,goldhorn.webp,audio_q12.mp3,1,🦄,🪵,🪨,,,1,,,,,,,
multiple_choice,Enchanted Forest Unicorn 126,Which unicorn is STANDING IN THE FOREST?,foreston.webp,audio_q13.mp3,1,🌲,🌊,🕳️,,,1,,,,,,,
multiple_choice,Enchanted Forest Unicorn 126,What color is the unicorn's magic mane?,manecol.webp,audio_q14.mp3,1,🌈,⬛,⬜,,,1,,,,,,,
