question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
count_objects,Magic Wand Sparkle Count 127,Count 1 golden magic wand with a star tip!,wand1.webp,audio_q1.mp3,1,1,2,3,,🪄,1,,,,,,,
count_objects,Magic Wand Sparkle Count 127,Count 2 magic wands casting sparkle spells!,wand2.webp,audio_q2.mp3,1,2,1,3,,🪄,2,,,,,,,
count_objects,Magic Wand Sparkle Count 127,Count 3 magic sparkles flying from the wand!,spark3.webp,audio_q3.mp3,1,3,2,4,,✨,3,,,,,,,
count_objects,Magic Wand Sparkle Count 127,Count 4 star wands held by young wizards!,wand4.webp,audio_q4.mp3,1,4,3,5,,🪄,4,,,,,,,
count_objects,Magic Wand Sparkle Count 127,Count 5 sparkling magic trails in the sky!,trail5.webp,audio_q5.mp3,1,5,4,6,,✨,5,,,,,,,
count_objects,Magic Wand Sparkle Count 127,Count 6 golden wands twirling together!,wand6.webp,audio_q6.mp3,1,6,5,7,,🪄,6,,,,,,,
count_objects,Magic Wand Sparkle Count 127,Count 7 magic spell badges earned by Leo!,badge7.webp,audio_q7.mp3,1,7,6,8,,🏅,7,,,,,,,
count_objects,Magic Wand Sparkle Count 127,Count 8 magic sparkles floating on screen!,spark8.webp,audio_q8.mp3,1,8,7,9,,✨,8,,,,,,,
multiple_choice,Magic Wand Sparkle Count 127,Which picture shows 1 magic wand?,mc_q9.webp,audio_q9.mp3,1,1,2,3,,,1,,,,,,,
multiple_choice,Magic Wand Sparkle Count 127,Which picture shows 2 magic wands?,mc_q10.webp,audio_q10.mp3,1,2,1,3,,,2,,,,,,,
multiple_choice,Magic Wand Sparkle Count 127,Which picture shows 3 magic sparkles?,mc_q11.webp,audio_q11.mp3,1,3,2,4,,,3,,,,,,,
multiple_choice,Magic Wand Sparkle Count 127,Which magic wand is SHINY & GOLDEN?,shinywand.webp,audio_q12.mp3,1,🪄,🪨,🪵,,,1,,,,,,,
multiple_choice,Magic Wand Sparkle Count 127,Which magic sparkle is BRIGHT?,brightspark.webp,audio_q13.mp3,1,✨,🕳️,🪨,,,1,,,,,,,
multiple_choice,Magic Wand Sparkle Count 127,What shape is the star tip on the wand?,tipshape.webp,audio_q14.mp3,1,⭐,🟡,🟦,,,1,,,,,,,
