question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
count_objects,Fairy Treehouse Light Match 128,Count 1 glowing fairy lantern hanging on the treehouse!,light1.webp,audio_q1.mp3,1,1,2,3,,🏮,1,,,,,,,
count_objects,Fairy Treehouse Light Match 128,Count 2 fairy treehouses glowing in the forest!,house2.webp,audio_q2.mp3,1,2,1,3,,🏡,2,,,,,,,
count_objects,Fairy Treehouse Light Match 128,Count 3 tiny fairies flying near the lanterns!,fairy3.webp,audio_q3.mp3,1,3,2,4,,🧚,3,,,,,,,
count_objects,Fairy Treehouse Light Match 128,Count 4 glowing fairy lights in a row!,light4.webp,audio_q4.mp3,1,4,3,5,,🏮,4,,,,,,,
count_objects,Fairy Treehouse Light Match 128,Count 5 magical fairies fluttering wings together!,fairy5.webp,audio_q5.mp3,1,5,4,6,,🧚,5,,,,,,,
count_objects,Fairy Treehouse Light Match 128,Count 6 fairy lanterns lighting the treehouse deck!,light6.webp,audio_q6.mp3,1,6,5,7,,🏮,6,,,,,,,
count_objects,Fairy Treehouse Light Match 128,Count 7 fairy star badges earned by Leo!,badge7.webp,audio_q7.mp3,1,7,6,8,,⭐,7,,,,,,,
count_objects,Fairy Treehouse Light Match 128,Count 8 glowing fairy lights in the tree canopy!,light8.webp,audio_q8.mp3,1,8,7,9,,🏮,8,,,,,,,
multiple_choice,Fairy Treehouse Light Match 128,Which picture shows 1 fairy lantern?,mc_q9.webp,audio_q9.mp3,1,1,2,3,,,1,,,,,,,
multiple_choice,Fairy Treehouse Light Match 128,Which picture shows 2 fairy treehouses?,mc_q10.webp,audio_q10.mp3,1,2,1,3,,,2,,,,,,,
multiple_choice,Fairy Treehouse Light Match 128,Which picture shows 3 tiny fairies?,mc_q11.webp,audio_q11.mp3,1,3,2,4,,,3,,,,,,,
multiple_choice,Fairy Treehouse Light Match 128,Which fairy is FLYING HIGH in the tree?,highfairy.webp,audio_q12.mp3,1,🧚,🕳️,🌊,,,1,,,,,,,
multiple_choice,Fairy Treehouse Light Match 128,Which fairy lantern is BRIGHT & GLOWING?,brightlantern.webp,audio_q13.mp3,1,🏮,🪨,🪵,,,1,,,,,,,
multiple_choice,Fairy Treehouse Light Match 128,What color is the warm fairy light glow?,lightcol.webp,audio_q14.mp3,1,🟡,⬛,⬜,,,1,,,,,,,
