question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
count_objects,Rainbow Bridge Step Count 130,Count 1 colorful rainbow stretching across the sky!,bow1.webp,audio_q1.mp3,1,1,2,3,,🌈,1,,,,,,,
count_objects,Rainbow Bridge Step Count 130,Count 2 stepping stones on the rainbow path!,stone2.webp,audio_q2.mp3,1,2,1,3,,🧱,2,,,,,,,
count_objects,Rainbow Bridge Step Count 130,Count 3 rainbow arch colors glowing bright!,col3.webp,audio_q3.mp3,1,3,2,4,,🌈,3,,,,,,,
count_objects,Rainbow Bridge Step Count 130,Count 4 stepping stones walked by Leo!,stone4.webp,audio_q4.mp3,1,4,3,5,,🧱,4,,,,,,,
count_objects,Rainbow Bridge Step Count 130,Count 5 rainbow clouds floating underneath!,cloud5.webp,audio_q5.mp3,1,5,4,6,,☁️,5,,,,,,,
count_objects,Rainbow Bridge Step Count 130,Count 6 rainbow steps across the sky bridge!,step6.webp,audio_q6.mp3,1,6,5,7,,🧱,6,,,,,,,
count_objects,Rainbow Bridge Step Count 130,Count 7 rainbow badges earned by Leo!,badge7.webp,audio_q7.mp3,1,7,6,8,,🏅,7,,,,,,,
count_objects,Rainbow Bridge Step Count 130,Count 8 stepping stones completing the sky bridge!,stone8.webp,audio_q8.mp3,1,8,7,9,,🧱,8,,,,,,,
multiple_choice,Rainbow Bridge Step Count 130,Which picture shows 1 rainbow bridge?,mc_q9.webp,audio_q9.mp3,1,1,2,3,,,1,,,,,,,
multiple_choice,Rainbow Bridge Step Count 130,Which picture shows 2 stepping stones?,mc_q10.webp,audio_q10.mp3,1,2,1,3,,,2,,,,,,,
multiple_choice,Rainbow Bridge Step Count 130,Which picture shows 3 rainbow arch colors?,mc_q11.webp,audio_q11.mp3,1,3,2,4,,,3,,,,,,,
multiple_choice,Rainbow Bridge Step Count 130,Which rainbow is HIGH IN THE SKY?,highbow.webp,audio_q12.mp3,1,🌈,🕳️,🌊,,,1,,,,,,,
multiple_choice,Rainbow Bridge Step Count 130,Which rainbow arch is WIDE & LONG?,widebow.webp,audio_q13.mp3,1,🌈,🪵,🪙,,,1,,,,,,,
multiple_choice,Rainbow Bridge Step Count 130,What color is the top arch of the rainbow?,topcol.webp,audio_q14.mp3,1,🔴,⬛,⬜,,,1,,,,,,,
