question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
count_objects,Golden Key Magic Door 131,Count 1 golden magic key to open the secret door!,key1.webp,audio_q1.mp3,1,1,2,3,,🔑,1,,,,,,,
count_objects,Golden Key Magic Door 131,Count 2 magic doors with golden keyholes!,door2.webp,audio_q2.mp3,1,2,1,3,,🚪,2,,,,,,,
count_objects,Golden Key Magic Door 131,Count 3 golden keys hanging on the wizard's ring!,key3.webp,audio_q3.mp3,1,3,2,4,,🔑,3,,,,,,,
count_objects,Golden Key Magic Door 131,Count 4 magic doors unlocked by Leo!,door4.webp,audio_q4.mp3,1,4,3,5,,🚪,4,,,,,,,
count_objects,Golden Key Magic Door 131,Count 5 golden keys glowing with magic light!,key5.webp,audio_q5.mp3,1,5,4,6,,🔑,5,,,,,,,
count_objects,Golden Key Magic Door 131,Count 6 magic doors in the enchanted castle!,door6.webp,audio_q6.mp3,1,6,5,7,,🚪,6,,,,,,,
count_objects,Golden Key Magic Door 131,Count 7 magic key badges awarded to Leo!,badge7.webp,audio_q7.mp3,1,7,6,8,,🏅,7,,,,,,,
count_objects,Golden Key Magic Door 131,Count 8 golden keys in the wizard box!,key8.webp,audio_q8.mp3,1,8,7,9,,🔑,8,,,,,,,
multiple_choice,Golden Key Magic Door 131,Which picture shows 1 golden key?,mc_q9.webp,audio_q9.mp3,1,1,2,3,,,1,,,,,,,
multiple_choice,Golden Key Magic Door 131,Which picture shows 2 magic doors?,mc_q10.webp,audio_q10.mp3,1,2,1,3,,,2,,,,,,,
multiple_choice,Golden Key Magic Door 131,Which picture shows 3 golden keys?,mc_q11.webp,audio_q11.mp3,1,3,2,4,,,3,,,,,,,
multiple_choice,Golden Key Magic Door 131,Which key is INSIDE the keyhole?,keyin.webp,audio_q12.mp3,1,🔑,🕳️,🌊,,,1,,,,,,,
multiple_choice,Golden Key Magic Door 131,Which magic door is TALL & GOLDEN?,talldoor.webp,audio_q13.mp3,1,🚪,📦,🪨,,,1,,,,,,,
multiple_choice,Golden Key Magic Door 131,What shape is the magic door frame?,doorframe.webp,audio_q14.mp3,1,🟧,🟡,🔺,,,1,,,,,,,
