question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
count_objects,Magic Potion Bottle Count 133,Count 1 glowing purple potion bottle on the wizard desk!,bot1.webp,audio_q1.mp3,1,1,2,3,,🧪,1,,,,,,,
count_objects,Magic Potion Bottle Count 133,Count 2 magic potion bottles bubbling with sparkles!,bot2.webp,audio_q2.mp3,1,2,1,3,,🧪,2,,,,,,,
count_objects,Magic Potion Bottle Count 133,Count 3 potion stars floating out of the bottle!,star3.webp,audio_q3.mp3,1,3,2,4,,✨,3,,,,,,,
count_objects,Magic Potion Bottle Count 133,Count 4 magic potion bottles lined up on the shelf!,bot4.webp,audio_q4.mp3,1,4,3,5,,🧪,4,,,,,,,
count_objects,Magic Potion Bottle Count 133,Count 5 sparkling potion bottles mixed by Leo!,bot5.webp,audio_q5.mp3,1,5,4,6,,🧪,5,,,,,,,
count_objects,Magic Potion Bottle Count 133,Count 6 magic potion bottles bubbling together!,bot6.webp,audio_q6.mp3,1,6,5,7,,🧪,6,,,,,,,
count_objects,Magic Potion Bottle Count 133,Count 7 potion badges earned by Wizard Leo!,badge7.webp,audio_q7.mp3,1,7,6,8,,🏅,7,,,,,,,
count_objects,Magic Potion Bottle Count 133,Count 8 magic potion bottles in the wizard lab!,bot8.webp,audio_q8.mp3,1,8,7,9,,🧪,8,,,,,,,
multiple_choice,Magic Potion Bottle Count 133,Which picture shows 1 magic potion bottle?,mc_q9.webp,audio_q9.mp3,1,1,2,3,,,1,,,,,,,
multiple_choice,Magic Potion Bottle Count 133,Which picture shows 2 bubbling potion bottles?,mc_q10.webp,audio_q10.mp3,1,2,1,3,,,2,,,,,,,
multiple_choice,Magic Potion Bottle Count 133,Which picture shows 3 floating potion stars?,mc_q11.webp,audio_q11.mp3,1,3,2,4,,,3,,,,,,,
multiple_choice,Magic Potion Bottle Count 133,Which potion bottle is FULL of magic liquid?,fullbot.webp,audio_q12.mp3,1,🧪,🫙,🪨,,,1,,,,,,,
multiple_choice,Magic Potion Bottle Count 133,Which potion bottle is ON THE DESK?,deskon.webp,audio_q13.mp3,1,🪑,🕳️,☁️,,,1,,,,,,,
multiple_choice,Magic Potion Bottle Count 133,What color is the glowing magic potion?,botcol.webp,audio_q14.mp3,1,🟣,⬛,⬜,,,1,,,,,,,
