question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
count_objects,Wizard Tower Star Spell 134,Count 1 tall wizard tower pointing to the sky!,tow1.webp,audio_q1.mp3,1,1,2,3,,🏰,1,,,,,,,
count_objects,Wizard Tower Star Spell 134,Count 2 wizard spellbooks open on the desk!,book2.webp,audio_q2.mp3,1,2,1,3,,📖,2,,,,,,,
count_objects,Wizard Tower Star Spell 134,Count 3 star spell symbols floating in the tower!,spell3.webp,audio_q3.mp3,1,3,2,4,,✨,3,,,,,,,
count_objects,Wizard Tower Star Spell 134,Count 4 wizard spellbooks with golden bookmarks!,book4.webp,audio_q4.mp3,1,4,3,5,,📖,4,,,,,,,
count_objects,Wizard Tower Star Spell 134,Count 5 glowing star spells cast by Wizard Leo!,spell5.webp,audio_q5.mp3,1,5,4,6,,✨,5,,,,,,,
count_objects,Wizard Tower Star Spell 134,Count 6 wizard towers in the magical realm!,tow6.webp,audio_q6.mp3,1,6,5,7,,🏰,6,,,,,,,
count_objects,Wizard Tower Star Spell 134,Count 7 wizard star badges earned by Leo!,badge7.webp,audio_q7.mp3,1,7,6,8,,⭐,7,,,,,,,
count_objects,Wizard Tower Star Spell 134,Count 8 glowing spellbooks in the tower library!,book8.webp,audio_q8.mp3,1,8,7,9,,📖,8,,,,,,,
multiple_choice,Wizard Tower Star Spell 134,Which picture shows 1 tall wizard tower?,mc_q9.webp,audio_q9.mp3,1,1,2,3,,,1,,,,,,,
multiple_choice,Wizard Tower Star Spell 134,Which picture shows 2 wizard spellbooks?,mc_q10.webp,audio_q10.mp3,1,2,1,3,,,2,,,,,,,
multiple_choice,Wizard Tower Star Spell 134,Which picture shows 3 glowing star spells?,mc_q11.webp,audio_q11.mp3,1,3,2,4,,,3,,,,,,,
multiple_choice,Wizard Tower Star Spell 134,Which wizard tower is TALL & HIGH?,talltow.webp,audio_q12.mp3,1,🏰,🪨,🪨,,,1,,,,,,,
multiple_choice,Wizard Tower Star Spell 134,Which star spell is AT THE TOP of the tower?,topspell.webp,audio_q13.mp3,1,🏰,🕳️,🌊,,,1,,,,,,,
multiple_choice,Wizard Tower Star Spell 134,What shape is the pointed wizard hat?,hatshape.webp,audio_q14.mp3,1,🔺,🟡,🟦,,,1,,,,,,,
