question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
count_objects,Play Group Math Ultimate Legend 135,Count 1 ultimate diamond crown on the master podium!,crown1.webp,audio_q1.mp3,1,1,2,3,,👑,1,,,,,,,
count_objects,Play Group Math Ultimate Legend 135,Count 2 ultimate legend trophies won by Champion Leo!,trophy2.webp,audio_q2.mp3,1,2,1,3,,🏆,2,,,,,,,
count_objects,Play Group Math Ultimate Legend 135,Count 3 golden star medals shining brightly!,medal3.webp,audio_q3.mp3,1,3,2,4,,🥇,3,,,,,,,
count_objects,Play Group Math Ultimate Legend 135,Count 4 ultimate legend star badges on screen!,badge4.webp,audio_q4.mp3,1,4,3,5,,⭐,4,,,,,,,
count_objects,Play Group Math Ultimate Legend 135,Count 5 sparkling rainbow fireworks celebrating graduation!,fire5.webp,audio_q5.mp3,1,5,4,6,,🎆,5,,,,,,,
count_objects,Play Group Math Ultimate Legend 135,Count 6 master banners waving across the stadium!,banner6.webp,audio_q6.mp3,1,6,5,7,,🚩,6,,,,,,,
count_objects,Play Group Math Ultimate Legend 135,Count 7 victory trophies presented to Leo!,trophy7.webp,audio_q7.mp3,1,7,6,8,,🏆,7,,,,,,,
count_objects,Play Group Math Ultimate Legend 135,Count 8 ultimate math champions cheering together!,cheer8.webp,audio_q8.mp3,1,8,7,9,,🥳,8,,,,,,,
multiple_choice,Play Group Math Ultimate Legend 135,Which picture shows 1 ultimate diamond crown?,mc_q9.webp,audio_q9.mp3,1,1,2,3,,,1,,,,,,,
multiple_choice,Play Group Math Ultimate Legend 135,Which picture shows 2 ultimate legend trophies?,mc_q10.webp,audio_q10.mp3,1,2,1,3,,,2,,,,,,,
multiple_choice,Play Group Math Ultimate Legend 135,Which picture shows 3 golden star medals?,mc_q11.webp,audio_q11.mp3,1,3,2,4,,,3,,,,,,,
multiple_choice,Play Group Math Ultimate Legend 135,Which trophy is SHINY & GOLDEN?,goldtrophy.webp,audio_q12.mp3,1,🏆,🪨,🪵,,,1,,,,,,,
multiple_choice,Play Group Math Ultimate Legend 135,Which crown is HIGH ON LEO'S HEAD?,headcrown.webp,audio_q13.mp3,1,👑,🕳️,🌊,,,1,,,,,,,
multiple_choice,Play Group Math Ultimate Legend 135,Tap the Play Group Math Ultimate Legend Champion badge!,legendbadge.webp,audio_q14.mp3,1,👑,🪨,📦,,,1,,,,,,,
