question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
count_objects,Dinosaur Valley Number Quest 76,Count all 1 dinosaur footprint on the path!,dino_foot1.webp,audio_q1.mp3,1,1,2,3,,🐾,1,,,,,,,
count_objects,Dinosaur Valley Number Quest 76,Count all 2 dinosaur footprints on the mud!,dino_foot2.webp,audio_q2.mp3,1,2,1,3,,🐾,2,,,,,,,
count_objects,Dinosaur Valley Number Quest 76,Count all 3 dinosaur footprints on the rock!,dino_foot3.webp,audio_q3.mp3,1,3,2,1,,🐾,3,,,,,,,
count_objects,Dinosaur Valley Number Quest 76,Count all 4 dinosaur footprints near the river!,dino_foot4.webp,audio_q4.mp3,1,4,3,5,,🐾,4,,,,,,,
count_objects,Dinosaur Valley Number Quest 76,Count all 5 dinosaur footprints in the jungle!,dino_foot5.webp,audio_q5.mp3,1,5,4,6,,🐾,5,,,,,,,
count_objects,Dinosaur Valley Number Quest 76,Count all 6 dinosaur footprints by the cave!,dino_foot6.webp,audio_q6.mp3,1,6,5,7,,🐾,6,,,,,,,
count_objects,Dinosaur Valley Number Quest 76,Count all 7 dinosaur footprints on the trail!,dino_foot7.webp,audio_q7.mp3,1,7,6,8,,🐾,7,,,,,,,
count_objects,Dinosaur Valley Number Quest 76,Count all 8 dinosaur footprints near the volcano!,dino_foot8.webp,audio_q8.mp3,1,8,7,9,,🐾,8,,,,,,,
multiple_choice,Dinosaur Valley Number Quest 76,Which picture shows 1 dinosaur footprint?,mc_q9.webp,audio_q9.mp3,1,1,2,3,,,1,,,,,,,
multiple_choice,Dinosaur Valley Number Quest 76,Which picture shows 2 dinosaur footprints?,mc_q10.webp,audio_q10.mp3,1,2,1,3,,,2,,,,,,,
multiple_choice,Dinosaur Valley Number Quest 76,Which picture shows 3 dinosaur footprints?,mc_q11.webp,audio_q11.mp3,1,3,2,1,,,3,,,,,,,
multiple_choice,Dinosaur Valley Number Quest 76,Which card shows 4 dinosaur footprints?,mc_q12.webp,audio_q12.mp3,1,4,3,5,,,4,,,,,,,
multiple_choice,Dinosaur Valley Number Quest 76,Which card shows 5 dinosaur footprints?,mc_q13.webp,audio_q13.mp3,1,5,4,6,,,5,,,,,,,
multiple_choice,Dinosaur Valley Number Quest 76,Tap the card with 6 dinosaur footprints!,mc_q14.webp,audio_q14.mp3,1,6,5,7,,,6,,,,,,,
speak_repeat,Dinosaur Valley Number Quest 76,Say out loud: ONE DINOSAUR!,dino_speak1.webp,audio_q15.mp3,1,One Dinosaur,,,,,,One Dinosaur,,,,,,
speak_repeat,Dinosaur Valley Number Quest 76,Say out loud: TWO FOOTPRINTS!,dino_speak2.webp,audio_q16.mp3,1,Two Footprints,,,,,,Two Footprints,,,,,,
speak_repeat,Dinosaur Valley Number Quest 76,Say out loud: THREE STEPS!,dino_speak3.webp,audio_q17.mp3,1,Three Steps,,,,,,Three Steps,,,,,,
