question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
count_objects,Volcano Lava Jump 80,Count 1 glowing lava rock on the path!,lava1.webp,audio_q1.mp3,1,1,2,3,,🪨,1,,,,,,,
count_objects,Volcano Lava Jump 80,Count 2 stepping stones over the lava river!,lava2.webp,audio_q2.mp3,1,2,1,3,,🪨,2,,,,,,,
count_objects,Volcano Lava Jump 80,Count 3 lava rocks in a row!,lava3.webp,audio_q3.mp3,1,3,2,4,,🪨,3,,,,,,,
count_objects,Volcano Lava Jump 80,Count 4 lava stones for Leo to jump on!,lava4.webp,audio_q4.mp3,1,4,3,5,,🪨,4,,,,,,,
count_objects,Volcano Lava Jump 80,Count 5 glowing stepping stones near the volcano!,lava5.webp,audio_q5.mp3,1,5,4,6,,🪨,5,,,,,,,
count_objects,Volcano Lava Jump 80,Count 6 safe rocks across the glowing lava stream!,lava6.webp,audio_q6.mp3,1,6,5,7,,🪨,6,,,,,,,
count_objects,Volcano Lava Jump 80,Count 7 lava rocks glowing bright orange!,lava7.webp,audio_q7.mp3,1,7,6,8,,🪨,7,,,,,,,
count_objects,Volcano Lava Jump 80,Count 8 volcano stepping stones to the finish line!,lava8.webp,audio_q8.mp3,1,8,7,9,,🪨,8,,,,,,,
multiple_choice,Volcano Lava Jump 80,Which picture shows 1 lava rock?,mc_q9.webp,audio_q9.mp3,1,1,2,3,,,1,,,,,,,
multiple_choice,Volcano Lava Jump 80,Which picture shows 2 lava rocks?,mc_q10.webp,audio_q10.mp3,1,2,1,3,,,2,,,,,,,
multiple_choice,Volcano Lava Jump 80,Which picture shows 3 lava rocks?,mc_q11.webp,audio_q11.mp3,1,3,2,4,,,3,,,,,,,
multiple_choice,Volcano Lava Jump 80,Which volcano mountain is HIGH?,highvolcano.webp,audio_q12.mp3,1,🌋,⛰️,🌾,,,1,,,,,,,
multiple_choice,Volcano Lava Jump 80,Which rock is NEAR the volcano crater?,nearcrater.webp,audio_q13.mp3,1,🌋,🏞️,🕳️,,,1,,,,,,,
multiple_choice,Volcano Lava Jump 80,What color is glowing hot lava?,lavacolor.webp,audio_q14.mp3,1,🔴,🔵,🟢,,,1,,,,,,,
