question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
count_objects,T-Rex Jungle Dash 81,Count 1 leafy palm tree in the T-Rex jungle!,palm1.webp,audio_q1.mp3,1,1,2,3,,🌴,1,,,,,,,
count_objects,T-Rex Jungle Dash 81,Count 2 friendly T-Rex dinosaurs running!,trex2.webp,audio_q2.mp3,1,2,1,3,,🦖,2,,,,,,,
count_objects,T-Rex Jungle Dash 81,Count 3 jungle ferns along the dash path!,fern3.webp,audio_q3.mp3,1,3,2,4,,🌿,3,,,,,,,
count_objects,T-Rex Jungle Dash 81,Count 4 roaring T-Rex footprints!,track4.webp,audio_q4.mp3,1,4,3,5,,🐾,4,,,,,,,
count_objects,T-Rex Jungle Dash 81,Count 5 sparkling jungle flowers!,flower5.webp,audio_q5.mp3,1,5,4,6,,🌺,5,,,,,,,
count_objects,T-Rex Jungle Dash 81,Count 6 T-Rex dinosaurs dashing through trees!,trex6.webp,audio_q6.mp3,1,6,5,7,,🦖,6,,,,,,,
count_objects,T-Rex Jungle Dash 81,Count 7 jungle fruit bunches hanging above!,fruit7.webp,audio_q7.mp3,1,7,6,8,,🍌,7,,,,,,,
count_objects,T-Rex Jungle Dash 81,Count 8 T-Rex footsteps echoing in the jungle!,step8.webp,audio_q8.mp3,1,8,7,9,,🐾,8,,,,,,,
multiple_choice,T-Rex Jungle Dash 81,Which picture shows 1 T-Rex?,mc_q9.webp,audio_q9.mp3,1,1,2,3,,,1,,,,,,,
multiple_choice,T-Rex Jungle Dash 81,Which picture shows 2 T-Rexes?,mc_q10.webp,audio_q10.mp3,1,2,1,3,,,2,,,,,,,
multiple_choice,T-Rex Jungle Dash 81,Which picture shows 3 T-Rexes?,mc_q11.webp,audio_q11.mp3,1,3,2,4,,,3,,,,,,,
multiple_choice,T-Rex Jungle Dash 81,Which T-Rex dinosaur is TALL?,talltrex.webp,audio_q12.mp3,1,🦖,🦎,🐞,,,1,,,,,,,
multiple_choice,T-Rex Jungle Dash 81,Which T-Rex is running FAST?,fasttrex.webp,audio_q13.mp3,1,💨,🐢,🦥,,,1,,,,,,,
multiple_choice,T-Rex Jungle Dash 81,Which tree is IN FRONT OF the T-Rex?,fronttree.webp,audio_q14.mp3,1,🌴,🌳,🐦,,,1,,,,,,,
