question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
count_objects,Triceratops Shield Match 82,Count 1 horned Triceratops shield!,shield1.webp,audio_q1.mp3,1,1,2,3,,🛡️,1,,,,,,,
count_objects,Triceratops Shield Match 82,Count 2 Triceratops horns on the frill!,horn2.webp,audio_q2.mp3,1,2,1,3,,🦏,2,,,,,,,
count_objects,Triceratops Shield Match 82,Count 3 Triceratops dinosaurs in the meadow!,tri3.webp,audio_q3.mp3,1,3,2,4,,🦏,3,,,,,,,
count_objects,Triceratops Shield Match 82,Count 4 defensive shields in a row!,shield4.webp,audio_q4.mp3,1,4,3,5,,🛡️,4,,,,,,,
count_objects,Triceratops Shield Match 82,Count 5 Triceratops dinosaurs grazing together!,tri5.webp,audio_q5.mp3,1,5,4,6,,🦏,5,,,,,,,
count_objects,Triceratops Shield Match 82,Count 6 horned shields guarding the herd!,shield6.webp,audio_q6.mp3,1,6,5,7,,🛡️,6,,,,,,,
count_objects,Triceratops Shield Match 82,Count 7 Triceratops footprints on the grass!,foot7.webp,audio_q7.mp3,1,7,6,8,,🐾,7,,,,,,,
count_objects,Triceratops Shield Match 82,Count 8 Triceratops horn badges in the valley!,badge8.webp,audio_q8.mp3,1,8,7,9,,🛡️,8,,,,,,,
multiple_choice,Triceratops Shield Match 82,Which picture shows 1 Triceratops?,mc_q9.webp,audio_q9.mp3,1,1,2,3,,,1,,,,,,,
multiple_choice,Triceratops Shield Match 82,Which picture shows 2 Triceratopses?,mc_q10.webp,audio_q10.mp3,1,2,1,3,,,2,,,,,,,
multiple_choice,Triceratops Shield Match 82,Which picture shows 3 Triceratopses?,mc_q11.webp,audio_q11.mp3,1,3,2,4,,,3,,,,,,,
multiple_choice,Triceratops Shield Match 82,Which shape is the Triceratops head shield?,shape_q12.webp,audio_q12.mp3,1,🔺,🟡,🟦,,,1,,,,,,,
multiple_choice,Triceratops Shield Match 82,Which Triceratops shield is WIDE?,wide_q13.webp,audio_q13.mp3,1,🛡️,🦏,🍃,,,1,,,,,,,
multiple_choice,Triceratops Shield Match 82,Which Triceratops is BEHIND the bush?,behind_q14.webp,audio_q14.mp3,1,🌳,🌾,☁️,,,1,,,,,,,
