question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
count_objects,Dinosaur Cave Explorer 84,Count 1 glowing crystal inside the dino cave!,crystal1.webp,audio_q1.mp3,1,1,2,3,,💎,1,,,,,,,
count_objects,Dinosaur Cave Explorer 84,Count 2 cave torches lighting the stone wall!,torch2.webp,audio_q2.mp3,1,2,1,3,,🕯️,2,,,,,,,
count_objects,Dinosaur Cave Explorer 84,Count 3 sleeping cave dinos on the rock bed!,cave3.webp,audio_q3.mp3,1,3,2,4,,🦕,3,,,,,,,
count_objects,Dinosaur Cave Explorer 84,Count 4 glowing gemstones in the cave tunnel!,gem4.webp,audio_q4.mp3,1,4,3,5,,💎,4,,,,,,,
count_objects,Dinosaur Cave Explorer 84,Count 5 stalactites hanging from the cave ceiling!,rock5.webp,audio_q5.mp3,1,5,4,6,,🪨,5,,,,,,,
count_objects,Dinosaur Cave Explorer 84,Count 6 cave crystals shining bright blue!,crystal6.webp,audio_q6.mp3,1,6,5,7,,💎,6,,,,,,,
count_objects,Dinosaur Cave Explorer 84,Count 7 dino cave paintings on the wall!,paint7.webp,audio_q7.mp3,1,7,6,8,,🎨,7,,,,,,,
count_objects,Dinosaur Cave Explorer 84,Count 8 explorer flashlights guiding the path!,light8.webp,audio_q8.mp3,1,8,7,9,,🔦,8,,,,,,,
multiple_choice,Dinosaur Cave Explorer 84,Which picture shows 1 cave crystal?,mc_q9.webp,audio_q9.mp3,1,1,2,3,,,1,,,,,,,
multiple_choice,Dinosaur Cave Explorer 84,Which picture shows 2 cave crystals?,mc_q10.webp,audio_q10.mp3,1,2,1,3,,,2,,,,,,,
multiple_choice,Dinosaur Cave Explorer 84,Which picture shows 3 cave crystals?,mc_q11.webp,audio_q11.mp3,1,3,2,4,,,3,,,,,,,
multiple_choice,Dinosaur Cave Explorer 84,Which cave crystal is SHINY?,shinygem.webp,audio_q12.mp3,1,💎,🪵,🕳️,,,1,,,,,,,
multiple_choice,Dinosaur Cave Explorer 84,Which sleeping dino is INSIDE the cave?,cavein.webp,audio_q13.mp3,1,🕳️,🏞️,🌳,,,1,,,,,,,
multiple_choice,Dinosaur Cave Explorer 84,Which torch is NEAR the cave entrance?,nearin.webp,audio_q14.mp3,1,🕯️,🏔️,🕳️,,,1,,,,,,,
