question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
count_objects,Pirate Treasure Chest Match 88,Count 1 pirate treasure chest filled with jewels!,chest1.webp,audio_q1.mp3,1,1,2,3,,🏴‍☠️,1,,,,,,,
count_objects,Pirate Treasure Chest Match 88,Count 2 brass keys to unlock the treasure chest!,key2.webp,audio_q2.mp3,1,2,1,3,,🔑,2,,,,,,,
count_objects,Pirate Treasure Chest Match 88,Count 3 pirate treasure chests on the sandy island!,chest3.webp,audio_q3.mp3,1,3,2,4,,🏴‍☠️,3,,,,,,,
count_objects,Pirate Treasure Chest Match 88,Count 4 golden keys hanging on the captain's belt!,key4.webp,audio_q4.mp3,1,4,3,5,,🔑,4,,,,,,,
count_objects,Pirate Treasure Chest Match 88,Count 5 treasure chests unlocked by Captain Leo!,chest5.webp,audio_q5.mp3,1,5,4,6,,🏴‍☠️,5,,,,,,,
count_objects,Pirate Treasure Chest Match 88,Count 6 pirate locks glowing with silver numbers!,lock6.webp,audio_q6.mp3,1,6,5,7,,🔒,6,,,,,,,
count_objects,Pirate Treasure Chest Match 88,Count 7 jeweled treasure chests on Pirate Island!,chest7.webp,audio_q7.mp3,1,7,6,8,,🏴‍☠️,7,,,,,,,
count_objects,Pirate Treasure Chest Match 88,Count 8 treasure chest keys in the wooden box!,key8.webp,audio_q8.mp3,1,8,7,9,,🔑,8,,,,,,,
multiple_choice,Pirate Treasure Chest Match 88,Which picture shows 1 treasure chest?,mc_q9.webp,audio_q9.mp3,1,1,2,3,,,1,,,,,,,
multiple_choice,Pirate Treasure Chest Match 88,Which picture shows 2 treasure chests?,mc_q10.webp,audio_q10.mp3,1,2,1,3,,,2,,,,,,,
multiple_choice,Pirate Treasure Chest Match 88,Which key matches the lock with Number 3?,keymatch3.webp,audio_q11.mp3,1,🔑,🔑,🔑,,,3,,,,,,,
multiple_choice,Pirate Treasure Chest Match 88,Which treasure chest is HEAVY?,heavychest.webp,audio_q12.mp3,1,🏴‍☠️,🔑,🪶,,,1,,,,,,,
multiple_choice,Pirate Treasure Chest Match 88,Which key is INSIDE the lock?,keyin.webp,audio_q13.mp3,1,🔒,🏖️,🌊,,,1,,,,,,,
multiple_choice,Pirate Treasure Chest Match 88,What shape is the keyhole on the chest?,hole_q14.webp,audio_q14.mp3,1,🟡,🔺,⭐,,,1,,,,,,,
