question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
count_objects,Pirate Ship Cannonball Count 89,Count 1 heavy iron cannonball on the deck!,ball1.webp,audio_q1.mp3,1,1,2,3,,💣,1,,,,,,,
count_objects,Pirate Ship Cannonball Count 89,Count 2 cannonballs stacked near the cannon!,ball2.webp,audio_q2.mp3,1,2,1,3,,💣,2,,,,,,,
count_objects,Pirate Ship Cannonball Count 89,Count 3 cannonballs ready to fire!,ball3.webp,audio_q3.mp3,1,3,2,4,,💣,3,,,,,,,
count_objects,Pirate Ship Cannonball Count 89,Count 4 black cannonballs in a neat row!,ball4.webp,audio_q4.mp3,1,4,3,5,,💣,4,,,,,,,
count_objects,Pirate Ship Cannonball Count 89,Count 5 cannonballs on the pirate ship!,ball5.webp,audio_q5.mp3,1,5,4,6,,💣,5,,,,,,,
count_objects,Pirate Ship Cannonball Count 89,Count 6 cannonballs loaded in barrels!,ball6.webp,audio_q6.mp3,1,6,5,7,,💣,6,,,,,,,
count_objects,Pirate Ship Cannonball Count 89,Count 7 cannonballs piled on the ship deck!,ball7.webp,audio_q7.mp3,1,7,6,8,,💣,7,,,,,,,
count_objects,Pirate Ship Cannonball Count 89,Count 8 cannonballs counted by Captain Leo!,ball8.webp,audio_q8.mp3,1,8,7,9,,💣,8,,,,,,,
multiple_choice,Pirate Ship Cannonball Count 89,Which picture shows 1 cannonball?,mc_q9.webp,audio_q9.mp3,1,1,2,3,,,1,,,,,,,
multiple_choice,Pirate Ship Cannonball Count 89,Which picture shows 2 cannonballs?,mc_q10.webp,audio_q10.mp3,1,2,1,3,,,2,,,,,,,
multiple_choice,Pirate Ship Cannonball Count 89,Which picture shows 3 cannonballs?,mc_q11.webp,audio_q11.mp3,1,3,2,4,,,3,,,,,,,
multiple_choice,Pirate Ship Cannonball Count 89,Which cannonball is HEAVY & ROUND?,heavyball.webp,audio_q12.mp3,1,💣,🪶,📄,,,1,,,,,,,
multiple_choice,Pirate Ship Cannonball Count 89,Which cannon is ON THE SHIP deck?,shipon.webp,audio_q13.mp3,1,🚢,🌊,☁️,,,1,,,,,,,
multiple_choice,Pirate Ship Cannonball Count 89,What shape is the round cannonball?,ballshape.webp,audio_q14.mp3,1,🟡,🟦,🔺,,,1,,,,,,,
