question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
count_objects,Pirate Map X Marks Spot 90,Count 1 red X marked on the treasure map!,map1.webp,audio_q1.mp3,1,1,2,3,,❌,1,,,,,,,
count_objects,Pirate Map X Marks Spot 90,Count 2 treasure maps rolled up on the table!,map2.webp,audio_q2.mp3,1,2,1,3,,🗺️,2,,,,,,,
count_objects,Pirate Map X Marks Spot 90,Count 3 red X marks showing hidden treasure!,map3.webp,audio_q3.mp3,1,3,2,4,,❌,3,,,,,,,
count_objects,Pirate Map X Marks Spot 90,Count 4 ancient island maps drawn by pirates!,map4.webp,audio_q4.mp3,1,4,3,5,,🗺️,4,,,,,,,
count_objects,Pirate Map X Marks Spot 90,Count 5 red X marks guiding Captain Leo!,map5.webp,audio_q5.mp3,1,5,4,6,,❌,5,,,,,,,
count_objects,Pirate Map X Marks Spot 90,Count 6 treasure trails on the parchment!,map6.webp,audio_q6.mp3,1,6,5,7,,🗺️,6,,,,,,,
count_objects,Pirate Map X Marks Spot 90,Count 7 red X spots across the island map!,map7.webp,audio_q7.mp3,1,7,6,8,,❌,7,,,,,,,
count_objects,Pirate Map X Marks Spot 90,Count 8 treasure maps in the captain's chest!,map8.webp,audio_q8.mp3,1,8,7,9,,🗺️,8,,,,,,,
multiple_choice,Pirate Map X Marks Spot 90,Which picture shows 1 red X mark?,mc_q9.webp,audio_q9.mp3,1,1,2,3,,,1,,,,,,,
multiple_choice,Pirate Map X Marks Spot 90,Which picture shows 2 red X marks?,mc_q10.webp,audio_q10.mp3,1,2,1,3,,,2,,,,,,,
multiple_choice,Pirate Map X Marks Spot 90,Which picture shows 3 red X marks?,mc_q11.webp,audio_q11.mp3,1,3,2,4,,,3,,,,,,,
multiple_choice,Pirate Map X Marks Spot 90,Which map is LONG & UNROLLED?,longmap.webp,audio_q12.mp3,1,🗺️,📜,🪙,,,1,,,,,,,
multiple_choice,Pirate Map X Marks Spot 90,Which X spot is ON THE ISLAND?,islandx.webp,audio_q13.mp3,1,🏝️,🌊,☁️,,,1,,,,,,,
multiple_choice,Pirate Map X Marks Spot 90,What color is the X marked on the map?,xcol.webp,audio_q14.mp3,1,🔴,🔵,🟢,,,1,,,,,,,
