question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
count_objects,Pirate Treasure Cove Master 95,Count 1 golden pirate crown in the treasure cove!,crown1.webp,audio_q1.mp3,1,1,2,3,,👑,1,,,,,,,
count_objects,Pirate Treasure Cove Master 95,Count 2 pirate master trophies won by Leo!,trophy2.webp,audio_q2.mp3,1,2,1,3,,🏆,2,,,,,,,
count_objects,Pirate Treasure Cove Master 95,Count 3 pirate star medals shining on screen!,medal3.webp,audio_q3.mp3,1,3,2,4,,🥇,3,,,,,,,
count_objects,Pirate Treasure Cove Master 95,Count 4 golden pirate coins in the chest!,coin4.webp,audio_q4.mp3,1,4,3,5,,🪙,4,,,,,,,
count_objects,Pirate Treasure Cove Master 95,Count 5 sparkling fireworks over Pirate Island!,fire5.webp,audio_q5.mp3,1,5,4,6,,🎆,5,,,,,,,
count_objects,Pirate Treasure Cove Master 95,Count 6 pirate banners waving high!,banner6.webp,audio_q6.mp3,1,6,5,7,,🏴‍☠️,6,,,,,,,
count_objects,Pirate Treasure Cove Master 95,Count 7 ruby jewels collected by Leo!,jewel7.webp,audio_q7.mp3,1,7,6,8,,💎,7,,,,,,,
count_objects,Pirate Treasure Cove Master 95,Count 8 pirate champions celebrating victory!,cheer8.webp,audio_q8.mp3,1,8,7,9,,🥳,8,,,,,,,
multiple_choice,Pirate Treasure Cove Master 95,Which picture shows 1 golden crown?,mc_q9.webp,audio_q9.mp3,1,1,2,3,,,1,,,,,,,
multiple_choice,Pirate Treasure Cove Master 95,Which picture shows 2 master trophies?,mc_q10.webp,audio_q10.mp3,1,2,1,3,,,2,,,,,,,
multiple_choice,Pirate Treasure Cove Master 95,Which picture shows 3 pirate star medals?,mc_q11.webp,audio_q11.mp3,1,3,2,4,,,3,,,,,,,
multiple_choice,Pirate Treasure Cove Master 95,Which trophy is SHINY GOLD?,goldtrophy.webp,audio_q12.mp3,1,🏆,🪨,🪵,,,1,,,,,,,
multiple_choice,Pirate Treasure Cove Master 95,Which crown is HIGH on Captain Leo's head?,highcrown.webp,audio_q13.mp3,1,👑,🚢,🌊,,,1,,,,,,,
multiple_choice,Pirate Treasure Cove Master 95,Tap the Pirate Treasure Cove Master badge!,masterbadge.webp,audio_q14.mp3,1,🏴‍☠️,🪨,📦,,,1,,,,,,,
