question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
count_objects,Space Station Orbit 96,Count 1 shiny space rocket orbiting Earth!,rocket1.webp,audio_q1.mp3,1,1,2,3,,🚀,1,,,,,,,
count_objects,Space Station Orbit 96,Count 2 solar panels attached to the space station!,panel2.webp,audio_q2.mp3,1,2,1,3,,🛰️,2,,,,,,,
count_objects,Space Station Orbit 96,Count 3 astronauts floating in zero gravity!,astro3.webp,audio_q3.mp3,1,3,2,4,,👨‍🚀,3,,,,,,,
count_objects,Space Station Orbit 96,Count 4 space rockets ready for launch!,rocket4.webp,audio_q4.mp3,1,4,3,5,,🚀,4,,,,,,,
count_objects,Space Station Orbit 96,Count 5 glowing satellite dishes on the station!,sat5.webp,audio_q5.mp3,1,5,4,6,,🛰️,5,,,,,,,
count_objects,Space Station Orbit 96,Count 6 space station modules in orbit!,mod6.webp,audio_q6.mp3,1,6,5,7,,🛸,6,,,,,,,
count_objects,Space Station Orbit 96,Count 7 space helmets worn by the crew!,helm7.webp,audio_q7.mp3,1,7,6,8,,🧑‍🚀,7,,,,,,,
count_objects,Space Station Orbit 96,Count 8 rockets zooming past the moon!,rocket8.webp,audio_q8.mp3,1,8,7,9,,🚀,8,,,,,,,
multiple_choice,Space Station Orbit 96,Which picture shows 1 space rocket?,mc_q9.webp,audio_q9.mp3,1,1,2,3,,,1,,,,,,,
multiple_choice,Space Station Orbit 96,Which picture shows 2 space station panels?,mc_q10.webp,audio_q10.mp3,1,2,1,3,,,2,,,,,,,
multiple_choice,Space Station Orbit 96,Which picture shows 3 floating astronauts?,mc_q11.webp,audio_q11.mp3,1,3,2,4,,,3,,,,,,,
multiple_choice,Space Station Orbit 96,Which rocket is TALL & LONG?,tallrocket.webp,audio_q12.mp3,1,🚀,⭐,🪨,,,1,,,,,,,
multiple_choice,Space Station Orbit 96,Which astronaut is FLOATING IN SPACE?,floatspace.webp,audio_q13.mp3,1,🌌,🕳️,🌊,,,1,,,,,,,
multiple_choice,Space Station Orbit 96,What shape is the round space window?,winshape.webp,audio_q14.mp3,1,🟡,🟦,🔺,,,1,,,,,,,
