question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
count_objects,Alien Friendship Match 98,Count 1 friendly green alien waving hello!,alien1.webp,audio_q1.mp3,1,1,2,3,,👾,1,,,,,,,
count_objects,Alien Friendship Match 98,Count 2 alien space buddies smiling!,alien2.webp,audio_q2.mp3,1,2,1,3,,👾,2,,,,,,,
count_objects,Alien Friendship Match 98,Count 3 flying saucers hovering in peace!,saucer3.webp,audio_q3.mp3,1,3,2,4,,🛸,3,,,,,,,
count_objects,Alien Friendship Match 98,Count 4 friendly aliens playing together!,alien4.webp,audio_q4.mp3,1,4,3,5,,👾,4,,,,,,,
count_objects,Alien Friendship Match 98,Count 5 alien star gifts presented to Leo!,gift5.webp,audio_q5.mp3,1,5,4,6,,🎁,5,,,,,,,
count_objects,Alien Friendship Match 98,Count 6 alien space buddies in a circle!,alien6.webp,audio_q6.mp3,1,6,5,7,,👾,6,,,,,,,
count_objects,Alien Friendship Match 98,Count 7 flying saucers beaming bright light!,saucer7.webp,audio_q7.mp3,1,7,6,8,,🛸,7,,,,,,,
count_objects,Alien Friendship Match 98,Count 8 alien friends cheering for Captain Leo!,alien8.webp,audio_q8.mp3,1,8,7,9,,👾,8,,,,,,,
multiple_choice,Alien Friendship Match 98,Which picture shows 1 friendly alien?,mc_q9.webp,audio_q9.mp3,1,1,2,3,,,1,,,,,,,
multiple_choice,Alien Friendship Match 98,Which picture shows 2 friendly aliens?,mc_q10.webp,audio_q10.mp3,1,2,1,3,,,2,,,,,,,
multiple_choice,Alien Friendship Match 98,Which picture shows 3 flying saucers?,mc_q11.webp,audio_q11.mp3,1,3,2,4,,,3,,,,,,,
multiple_choice,Alien Friendship Match 98,Which alien is SMALL & CUTE?,smallalien.webp,audio_q12.mp3,1,👾,🪐,⭐,,,1,,,,,,,
multiple_choice,Alien Friendship Match 98,Which flying saucer is ABOVE the moon?,saucerabove.webp,audio_q13.mp3,1,🛸,🪨,🌊,,,1,,,,,,,
multiple_choice,Alien Friendship Match 98,What color is the friendly alien buddy?,aliencol.webp,audio_q14.mp3,1,🟢,🟣,🟠,,,1,,,,,,,
