question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
count_objects,Saturn Ring Star Count 99,Count 1 golden star glowing near Saturn's ring!,star1.webp,audio_q1.mp3,1,1,2,3,,⭐,1,,,,,,,
count_objects,Saturn Ring Star Count 99,Count 2 ringed Saturn planets in deep space!,saturn2.webp,audio_q2.mp3,1,2,1,3,,🪐,2,,,,,,,
count_objects,Saturn Ring Star Count 99,Count 3 bright stars sparkling along the ring!,star3.webp,audio_q3.mp3,1,3,2,4,,⭐,3,,,,,,,
count_objects,Saturn Ring Star Count 99,Count 4 golden stars glowing in space!,star4.webp,audio_q4.mp3,1,4,3,5,,⭐,4,,,,,,,
count_objects,Saturn Ring Star Count 99,Count 5 Saturn planets orbiting together!,saturn5.webp,audio_q5.mp3,1,5,4,6,,🪐,5,,,,,,,
count_objects,Saturn Ring Star Count 99,Count 6 sparkling stars around Saturn's ring!,star6.webp,audio_q6.mp3,1,6,5,7,,⭐,6,,,,,,,
count_objects,Saturn Ring Star Count 99,Count 7 ring stars counted by Astronaut Leo!,star7.webp,audio_q7.mp3,1,7,6,8,,⭐,7,,,,,,,
count_objects,Saturn Ring Star Count 99,Count 8 stars forming a ring around the planet!,star8.webp,audio_q8.mp3,1,8,7,9,,⭐,8,,,,,,,
multiple_choice,Saturn Ring Star Count 99,Which picture shows 1 golden star?,mc_q9.webp,audio_q9.mp3,1,1,2,3,,,1,,,,,,,
multiple_choice,Saturn Ring Star Count 99,Which picture shows 2 Saturn planets?,mc_q10.webp,audio_q10.mp3,1,2,1,3,,,2,,,,,,,
multiple_choice,Saturn Ring Star Count 99,Which picture shows 3 bright stars?,mc_q11.webp,audio_q11.mp3,1,3,2,4,,,3,,,,,,,
multiple_choice,Saturn Ring Star Count 99,Which planet has a WIDE RING around it?,ringplanet.webp,audio_q12.mp3,1,🪐,☀️,🌙,,,1,,,,,,,
multiple_choice,Saturn Ring Star Count 99,Which star is BRIGHT & SHINY?,brightstar.webp,audio_q13.mp3,1,⭐,🪨,🕳️,,,1,,,,,,,
multiple_choice,Saturn Ring Star Count 99,What shape is Saturn's outer ring?,ringshape.webp,audio_q14.mp3,1,🟡,🟦,🔺,,,1,,,,,,,
