question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
multiple_choice,Life of Jesus Master,Where was Jesus born?,born_q1.webp,audio_q1.mp3,1,Bethlehem,Nazareth,Egypt,,,1,,,,,,,
multiple_choice,Life of Jesus Master,What did Jesus say to calm the storm on the sea?,storm_q2.webp,audio_q2.mp3,1,Peace Be Still,Blow Harder,Go Away,,,1,,,,,,,
multiple_choice,Life of Jesus Master,How many people did Jesus feed with 5 loaves and 2 fish?,feed_q3.webp,audio_q3.mp3,1,5000,100,20,,,1,,,,,,,
multiple_choice,Life of Jesus Master,Jesus loves children. What did He say when children came?,child_q4.webp,audio_q4.mp3,1,Welcome Them,Send Away,Ignore Them,,,1,,,,,,,
multiple_choice,Life of Jesus Master,Jesus is called the Good Shepherd. What does He care for?,shep_q5.webp,audio_q5.mp3,1,His Sheep,His Garden,His House,,,1,,,,,,,
multiple_choice,Life of Jesus Master,What did Jesus do to show He loves us?,love_q6.webp,audio_q6.mp3,1,Died & Rose,Ran Away,Slept,,,1,,,,,,,
multiple_choice,Life of Jesus Master,The Wise Men followed a star and found Baby Jesus. Where was He?,wise_q7.webp,audio_q7.mp3,1,In a Manger,In a Palace,In a School,,,1,,,,,,,
multiple_choice,Life of Jesus Master,Tap the GOLDEN JESUS TROPHY for mastering the Life of Jesus!,trophy_q8.webp,audio_q8.mp3,1,🏆,❌,⭕,,,1,,,,,,,
speak_repeat,Life of Jesus Master,Say out loud: JESUS IS MY LORD AND SAVIOR!,jesus_speak.webp,audio_q9.mp3,1,Jesus Is My Lord And Savior,,,,,,Jesus Is My Lord And Savior,,,,,,
speak_repeat,Life of Jesus Master,Say out loud: JESUS LOVES ME AND I LOVE JESUS!,love_speak.webp,audio_q10.mp3,1,Jesus Loves Me And I Love Jesus,,,,,,Jesus Loves Me And I Love Jesus,,,,,,
speak_repeat,Life of Jesus Master,Say out loud: JESUS IS ALIVE FOREVER!,alive_speak.webp,audio_q11.mp3,1,Jesus Is Alive Forever,,,,,,Jesus Is Alive Forever,,,,,,
matching,Life of Jesus Master,Match Jesus miracles!,,,1,,,,,,,,Fed 5000,5 Loaves 2 Fish,Calmed Storm,Peace Be Still,Healed Sick,Made Well
matching,Life of Jesus Master,Match Jesus story facts!,,,1,,,,,,,,Born In,Bethlehem,Grew Up In,Nazareth,Loves,All Children
matching,Life of Jesus Master,Match what Jesus means to us!,,,1,,,,,,,,Good Shepherd,Guides Us,Great Healer,Heals Us,Lord & Savior,Saves Us
