question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
multiple_choice,Noah and the Great Ark,Who built the big wooden Ark to save animals from the flood?,noah_q1.webp,audio_q1.mp3,1,Noah,Goliath,Moses,,,1,,,,,,,
multiple_choice,Noah and the Great Ark,What did God tell Noah to build?,build_q2.webp,audio_q2.mp3,1,An Ark,A House,A Boat,,,1,,,,,,,
multiple_choice,Noah and the Great Ark,How many of each animal went into the Ark?,two_q3.webp,audio_q3.mp3,1,Two by Two,One by One,Five by Five,,,1,,,,,,,
multiple_choice,Noah and the Great Ark,How long did it rain while Noah and the animals were in the Ark?,rain_q4.webp,audio_q4.mp3,1,40 Days,2 Days,1 Week,,,1,,,,,,,
multiple_choice,Noah and the Great Ark,What sign did God put in the sky after the flood?,bow_q5.webp,audio_q5.mp3,1,Rainbow,Lightning,Star,,,1,,,,,,,
multiple_choice,Noah and the Great Ark,What does the rainbow promise from God mean?,prom_q6.webp,audio_q6.mp3,1,No More Flood,More Rain,New Ark,,,1,,,,,,,
multiple_choice,Noah and the Great Ark,Noah obeyed God even when others laughed. What does that teach us?,obey_q7.webp,audio_q7.mp3,1,Always Obey God,Listen to Crowd,Be Afraid,,,1,,,,,,,
multiple_choice,Noah and the Great Ark,Touch the beautiful rainbow God placed in the sky for Noah!,rain_q8.webp,audio_q8.mp3,1,Rainbow,Storm Cloud,Dark Night,,,1,,,,,,,
speak_repeat,Noah and the Great Ark,Say out loud clearly: NOAH OBEYED GOD!,noah_speak.webp,audio_q9.mp3,1,Noah Obeyed God,,,,,,Noah Obeyed God,,,,,,
speak_repeat,Noah and the Great Ark,Say out loud: GOD KEEPS HIS PROMISES!,prom_speak.webp,audio_q10.mp3,1,God Keeps His Promises,,,,,,God Keeps His Promises,,,,,,
speak_repeat,Noah and the Great Ark,Say out loud: I WILL OBEY GOD LIKE NOAH!,like_speak.webp,audio_q11.mp3,1,I Will Obey God Like Noah,,,,,,I Will Obey God Like Noah,,,,,,
matching,Noah and the Great Ark,Match Noah story facts!,,,1,,,,,,,,Ark ⛵,Big Wooden Boat,Animals 🦒,Two by Two,Rainbow 🌈,Gods Promise
matching,Noah and the Great Ark,Match story sequence!,,,1,,,,,,,,God Spoke,Build an Ark,Rain Fell,40 Days,Rainbow,After Flood
matching,Noah and the Great Ark,Match what we learn from Noah!,,,1,,,,,,,,Obey God,Always,Trust God,His Promises,Be Brave,Like Noah
