question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
multiple_choice,Christian Values Master,Blend /c/ + /a/ + /t/? (think -an words),cvc_an1.webp,audio_q1.mp3,1,Man,Dog,Sun,,,,,,,,,,
multiple_choice,Christian Values Master,Which word rhymes with Man?,cvc_an2.webp,audio_q2.mp3,1,Fan,Bed,Cup,,,,,,,,,,
multiple_choice,Christian Values Master,Touch the picture that rhymes with Fan!,cvc_an3.webp,audio_q3.mp3,1,Can,Frog,Bird,,,,,,,,,,
multiple_choice,Christian Values Master,Which word ends in /an/?,cvc_an4.webp,audio_q4.mp3,1,Pan,Tree,Fish,,,,,,,,,,
multiple_choice,Christian Values Master,Touch the -an word!,cvc_an5.webp,audio_q5.mp3,1,Van,Jump,Rain,,,,,,,,,,
multiple_choice,Christian Values Master,Spell out Man — how many letters?,cvc_spell.webp,audio_q6.mp3,1,3,4,5,,,,,,,,,,
speak_repeat,Christian Values Master,Say out loud: MAN — FAN — CAN!,cvc_say.webp,audio_q7.mp3,1,Man Fan Can,,,,,,Man Fan Can,,,,,,
speak_repeat,Christian Values Master,Say: THEY ALL RHYME WITH -AN!,cvc_rhyme.webp,audio_q8.mp3,1,They All Rhyme With -an,,,,,,They All Rhyme With -an,,,,,,
speak_repeat,Christian Values Master,Spell it out: M-A-N spells MAN!,cvc_spell2.webp,audio_q9.mp3,1,M-A-N Spells Man,,,,,,M-A-N Spells Man,,,,,,
matching,Christian Values Master,Match -an words to pictures!,,,1,,,,,,,,Man,🧑,Fan,💨,Can,🥫
matching,Christian Values Master,Match rhyming word pairs!,,,1,,,,,,,,Man,Fan,Can,Pan,Van,Man
matching,Christian Values Master,Match word to its meaning!,,,1,,,,,,,,Man,A Man,Fan,A Fan,Can,A Can
