Lesson Code,Lesson Title,Lesson Description,,,,,,,,,,
KE_PPP_MATH_01_01,Lesson 1: Number 1 Detective,Develop number recognition skills by identifying and tapping the number 1 among different numerical distractors.,,,,,,,,,,
Quiz Name,Quiz Description,,,,,,,,,,,
KE_PPP_MATH_01_01,Lesson 1 Quiz: Number 1 Detective (Recognition),,,,,,,,,,,
Quiz Section Type,Quiz Section Code,Quiz Section Title,Quiz Section Description,,,,,,,,,,
QT11,KE_PPP_MATH_01_01_01,Number 1 Recognition,Identify and tap the numeral 1 in different fun scenarios.,,,,,,,,,,
Question type,Codename,Name,Description,Iteration,Weight,Timer,Display Text,Image Filename,Sound Filename,Correct Answer,Answer Sound,Incorrect Answers
QT11,KE_PPP_MATH_01_01_01,Find Numeral 1 Q1,Identify number 1 with Kibo,2,1,120,Help Kibo find the number 1! Look at the picture and tap the box with the number 1!,Number_1_Q1,Num1_Q1_Instruction,1,Number_1,3|7|10
QT11,KE_PPP_MATH_01_01_01,Find Numeral 1 Q2,Identify number 1 hiding near clouds,2,1,120,Great job! I see another number 1 hiding near the clouds! Tap the box that matches the number 1!,Number_1_Q2,Num1_Q2_Instruction,1,Number_1,2|8|4
QT11,KE_PPP_MATH_01_01_01,Find Numeral 1 Q3,Identify number 1 for balloon,2,1,120,There it is! Tap the number 1 box to help Kibo hold his 1 balloon!,Number_1_Q3,Num1_Q3_Instruction,1,Number_1,5|9|6
QT11,KE_PPP_MATH_01_01_01,Find Numeral 1 Q4,Identify number 1 to finish game,2,1,120,One more! Find the number 1 to finish our detective game! Tap the 1 box!,Number_1_Q4,Num1_Q4_Instruction,1,Number_1,4|2|7
Lesson Code,Lesson Title,Lesson Description,,,,,,,,,,
KE_PPP_MATH_01_02,Lesson 2: Number 1 Matching,Connect the concept of quantity 1 to real-world visual objects by selecting pictures with exactly one item.,,,,,,,,,,
Quiz Name,Quiz Description,,,,,,,,,,,
KE_PPP_MATH_01_02,Lesson 2 Quiz: Number 1 Matching (MC Images),,,,,,,,,,,
Quiz Section Type,Quiz Section Code,Quiz Section Title,Quiz Section Description,,,,,,,,,,
QT10,KE_PPP_MATH_01_02_01,Number 1 Object Matching,Identify image representing quantity 1.,,,,,,,,,,
