Lesson Code,Lesson Title,Lesson Description,,,,,,,,,,
KE_PPP_ELA_01_01,Lesson 1: A & B Detective,Develop letter recognition skills by identifying uppercase and lowercase forms of letters A and B.,,,,,,,,,,
Quiz Name,Quiz Description,,,,,,,,,,,
KE_PPP_ELA_01_01,Lesson 1 Quiz: A & B Detective (Recognition),,,,,,,,,,,
Quiz Section Type,Quiz Section Code,Quiz Section Title,Quiz Section Description,,,,,,,,,,
QT11,KE_PPP_ELA_01_01_01,A & B Letter Recognition,Identify uppercase and lowercase letters A and B.,,,,,,,,,,
Question type,Codename,Name,Description,Iteration,Weight,Timer,Display Text,Image Filename,Sound Filename,Correct Answer,Answer Sound,Incorrect Answers
QT11,KE_PPP_ELA_01_01_01,Focus Uppercase A,Identify uppercase A,2,1,120,Help Andy find uppercase A! Tap the box with uppercase A!,Letter_A_Upper,Letter_A_Upper_Instruction,A,Letter_A_Upper,B|X|O
QT11,KE_PPP_ELA_01_01_01,Focus Lowercase a,Identify lowercase a,2,1,120,Now find lowercase a! Tap the box with lowercase a!,Letter_A_Lower,Letter_A_Lower_Instruction,a,Letter_A_Lower,b|e|o
QT11,KE_PPP_ELA_01_01_01,Focus Uppercase B,Identify uppercase B,2,1,120,Help Benny find uppercase B! Tap the box with uppercase B!,Letter_B_Upper,Letter_B_Upper_Instruction,B,Letter_B_Upper,A|R|D
QT11,KE_PPP_ELA_01_01_01,Focus Lowercase b,Identify lowercase b,2,1,120,Find lowercase b to help Benny! Tap lowercase b!,Letter_B_Lower,Letter_B_Lower_Instruction,b,Letter_B_Lower,d|p|q
Lesson Code,Lesson Title,Lesson Description,,,,,,,,,,
KE_PPP_ELA_01_02,Lesson 2: A & B Sound & Object Match,Associate initial phoneme sounds and vocabulary objects with letters A and B.,,,,,,,,,,
Quiz Name,Quiz Description,,,,,,,,,,,
KE_PPP_ELA_01_02,Lesson 2 Quiz: A & B Sound & Object Match (MC Images),,,,,,,,,,,
Quiz Section Type,Quiz Section Code,Quiz Section Title,Quiz Section Description,,,,,,,,,,
QT10,KE_PPP_ELA_01_02_01,A & B Sound & Object Match,Identify pictures that match the corresponding initial sounds for letters A and B.,,,,,,,,,,
Question type,Codename,Name,Description,Iteration,Weight,Timer,Answer No,Option No,Text,Hidden Answer,Image Filename,Sound Filename
QT10,KE_PPP_ELA_01_02_01,Sound A Q,Identify picture starting with /a/ sound,2,1,120,1,1,Which picture starts with the /a/ sound? Tap it!,Apple,Apple,Sound_A_Instruction
QT10,KE_PPP_ELA_01_02_01,Sound B Q,Identify picture starting with /b/ sound,2,1,120,2,1,Which picture starts with the /b/ sound? Tap it!,Ball,Ball,Sound_B_Instruction
QT10,KE_PPP_ELA_01_02_01,Object A Q,Identify red fruit starting with /a/,2,1,120,3,1,Andy the Ant loves red fruit! Tap the /a/ /a/ Apple!,Apple,Apple,Object_A_Instruction
QT10,KE_PPP_ELA_01_02_01,Object B Q,Identify round toy starting with /b/,2,1,120,4,1,Benny the Bird plays with this round toy! Tap the /b/ /b/ Ball!,Ball,Ball,Object_B_Instruction



Lesson Code,Lesson Title,Lesson Description,,,,,,,,,,
KE_PPP_ELA_02_01,Lesson 1: C & D Detective,Develop letter recognition skills by identifying uppercase and lowercase forms of letters C and D.,,,,,,,,,,
Quiz Name,Quiz Description,,,,,,,,,,,
