question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right


question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
multiple_choice,PP1-MATH-1.1.1_Dinosaur_Island_Number_Hunt,How many giant T-Rex dinosaurs do you see?,dino_q1.webp,audio_d1.mp3,1,3,1,5,,,1,,,,,,,
multiple_choice,PP1-MATH-1.1.1_Dinosaur_Island_Number_Hunt,What number comes after 2 on Dinosaur Island?,dino_q2.webp,audio_d2.mp3,1,3,1,4,,,1,,,,,,,
multiple_choice,PP1-MATH-1.1.1_Dinosaur_Island_Number_Hunt,Which number is smaller than 4?,dino_q3.webp,audio_d3.mp3,1,2,5,4,,,1,,,,,,,
multiple_choice,PP1-MATH-1.1.1_Dinosaur_Island_Number_Hunt,Count the green dino tracks: 1 2 3... what comes next?,dino_q4.webp,audio_d4.mp3,1,4,1,2,,,1,,,,,,,
multiple_choice,PP1-MATH-1.1.1_Dinosaur_Island_Number_Hunt,What number comes right before 5?,dino_q5.webp,audio_d5.mp3,1,4,2,1,,,1,,,,,,,
multiple_choice,PP1-MATH-1.1.1_Dinosaur_Island_Number_Hunt,Which number means no dinosaurs at all?,dino_q6.webp,audio_d6.mp3,1,0,3,5,,,1,,,,,,,
count_objects,PP1-MATH-1.1.1_Dinosaur_Island_Number_Hunt,Count 4 friendly dinosaurs on the island!,dino_count1.webp,audio_d7.mp3,1,4,2,3,,🦕,4,,,,,,,
count_objects,PP1-MATH-1.1.1_Dinosaur_Island_Number_Hunt,Count 2 big dinosaur eggs in the nest!,dino_count2.webp,audio_d8.mp3,1,2,1,5,,🥚,2,,,,,,,
count_objects,PP1-MATH-1.1.1_Dinosaur_Island_Number_Hunt,Count 5 green palm leaves for dino lunch!,dino_count3.webp,audio_d9.mp3,1,5,3,1,,🌿,5,,,,,,,
speak_repeat,PP1-MATH-1.1.1_Dinosaur_Island_Number_Hunt,Say out loud clearly: THREE DINOSAURS!,speak_d1.webp,audio_d10.mp3,1,Three Dinosaurs,,,,,,Three Dinosaurs,,,,,,,
speak_repeat,PP1-MATH-1.1.1_Dinosaur_Island_Number_Hunt,Say out loud clearly: COUNT TO FIVE!,speak_d2.webp,audio_d11.mp3,1,Count To Five,,,,,,Count To Five,,,,,,,
matching,PP1-MATH-1.1.1_Dinosaur_Island_Number_Hunt,Match numbers to dinosaur items!,,,1,,,,,,,,Dino 🦕,1,Eggs 🥚,2,Trees 🌴,3
matching,PP1-MATH-1.1.1_Dinosaur_Island_Number_Hunt,Match digits on Dinosaur Island!,,,1,,,,,,,,1,1,2,2,3,3
multiple_choice,PP1-MATH-1.1.2_Pirate_Cove_Number_Finder,How many treasure chests are in Pirate Cove?,pirate_q1.webp,audio_p1.mp3,1,5,2,1,,,1,,,,,,,
multiple_choice,PP1-MATH-1.1.2_Pirate_Cove_Number_Finder,What number comes after 3 on the treasure map?,pirate_q2.webp,audio_p2.mp3,1,4,1,2,,,1,,,,,,,
multiple_choice,PP1-MATH-1.1.2_Pirate_Cove_Number_Finder,Which number is bigger: 2 or 5?,pirate_q3.webp,audio_p3.mp3,1,5,2,0,,,1,,,,,,,
multiple_choice,PP1-MATH-1.1.2_Pirate_Cove_Number_Finder,What number comes before 2?,pirate_q4.webp,audio_p4.mp3,1,1,4,5,,,1,,,,,,,
multiple_choice,PP1-MATH-1.1.2_Pirate_Cove_Number_Finder,Count pirate flags: 1 2... what is next?,pirate_q5.webp,audio_p5.mp3,1,3,5,0,,,1,,,,,,,
multiple_choice,PP1-MATH-1.1.2_Pirate_Cove_Number_Finder,Find the number 4 gold coins!,pirate_q6.webp,audio_p6.mp3,1,4,1,3,,,1,,,,,,,
count_objects,PP1-MATH-1.1.2_Pirate_Cove_Number_Finder,Count 3 pirate treasure maps!,pirate_count1.webp,audio_p7.mp3,1,3,1,5,,🗺️,3,,,,,,,
count_objects,PP1-MATH-1.1.2_Pirate_Cove_Number_Finder,Count 5 shiny gold coins in the chest!,pirate_count2.webp,audio_p8.mp3,1,5,2,4,,🪙,5,,,,,,,
